Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Daytime,Time_Difference_Minutes,Order_Hour,Order_Minute,Picked_Hour,Picked_Minute,onground_dist(KM)
33,5,19.254567,72.848923,19.364567,72.958923,Sandstorms,Low,0,Buffet,motorcycle,0,No,Urban,24,night,5,23,50,23,55,35.9
21,4.8,25.449659,81.839744,25.469659,81.859744,Sandstorms,Low,2,Meal,electric_scooter,0,No,Metropolitian,14,morning,10,10,20,10,30,4.2
39,4.6,12.972793,80.249982,13.062793,80.339982,Cloudy,Jam,1,Snack,scooter,1,No,Metropolitian,36,evening,5,20,10,20,15,28.1
22,4.7,21.157735,72.768778,21.197735,72.808778,Sunny,High,1,Buffet,scooter,1,No,Urban,18,afternoon,5,12,10,12,15,8.5
32,4.6,21.186438,72.794115,21.226438,72.834115,Fog,Medium,1,Meal,scooter,0,No,Metropolitian,17,afternoon,15,15,30,15,45,7.6
35,4.1,13.064181,80.236442,13.154181,80.326442,Sandstorms,Jam,1,Buffet,motorcycle,2,No,Metropolitian,37,evening,15,20,25,20,40,19.8
34,4.7,22.311358,73.164798,22.351358,73.204798,Windy,High,2,Drinks,electric_scooter,1,No,Metropolitian,28,afternoon,10,12,35,12,45,8.3
25,4.4,13.086438,80.220672,13.196438,80.330672,Cloudy,Medium,2,Snack,scooter,1,No,Metropolitian,39,evening,5,18,15,18,20,26.1
25,4.7,19.254567,72.848923,19.364567,72.958923,Stormy,Medium,0,Meal,motorcycle,0,No,Urban,20,evening,5,18,20,18,25,35.9
30,5,26.913483,75.803139,26.933483,75.823139,Stormy,High,1,Buffet,motorcycle,1,No,Metropolitian,31,morning,5,11,45,11,50,5
24,4.6,17.411028,78.329645,17.471028,78.389645,Stormy,Jam,1,Buffet,motorcycle,0,No,Metropolitian,13,evening,10,20,45,20,55,16.4
37,4.6,19.876428,75.364792,19.956428,75.444792,Fog,Low,0,Buffet,motorcycle,2,Yes,Urban,42,night,15,23,30,23,45,15.5
24,5,12.939496,77.625999,12.949496,77.635999,Fog,Low,0,Drinks,motorcycle,1,No,Metropolitian,23,morning,5,10,50,10,55,2.8
25,4.2,17.433809,78.386744,17.543809,78.496744,Stormy,Jam,0,Meal,motorcycle,1,No,Metropolitian,39,night,15,21,25,21,40,33.5
32,4.6,23.374878,85.335739,23.384878,85.345739,Stormy,Low,2,Drinks,motorcycle,1,No,Metropolitian,25,morning,10,10,10,10,20,3.1
36,4.8,26.891191,75.802083,26.981191,75.892083,Sunny,Medium,2,Buffet,electric_scooter,0,No,Metropolitian,15,evening,5,17,50,17,55,18.3
29,5,12.316967,76.603067,12.366967,76.653067,Sunny,Low,0,Drinks,motorcycle,0,No,Metropolitian,18,night,5,22,20,22,25,14.7
36,4.7,18.927584,72.832585,19.017584,72.922585,Sandstorms,Low,2,Drinks,electric_scooter,0,No,Metropolitian,29,night,10,23,40,23,50,25.7
33,4.7,11.022298,76.998349,11.072298,77.048349,Fog,Low,0,Snack,motorcycle,0,No,Metropolitian,20,night,5,23,25,23,30,11.8
36,4.4,12.325461,76.632278,12.365461,76.672278,Cloudy,High,2,Meal,scooter,1,No,Metropolitian,39,afternoon,15,12,40,12,55,9.9
21,4.8,18.530963,73.828972,18.640963,73.938972,Windy,Low,0,Snack,motorcycle,0,No,Metropolitian,19,night,15,23,30,23,45,29.5
25,4.6,11.022477,76.995667,11.032477,77.005667,Stormy,Low,2,Snack,motorcycle,1,No,Urban,15,morning,15,10,25,10,40,3.2
27,4.6,12.979166,77.640709,13.069166,77.730709,Sandstorms,Jam,0,Buffet,motorcycle,1,No,Metropolitian,29,night,15,21,25,21,40,18.4
23,4.8,18.994237,72.825553,19.104237,72.935553,Cloudy,Low,2,Snack,scooter,1,No,Urban,22,night,5,22,35,22,40,24.9
21,4.3,12.284747,76.625861,12.414747,76.755861,Fog,Jam,1,Drinks,scooter,0,No,Metropolitian,42,evening,10,20,10,20,20,37.2
27,4.7,21.175975,72.795503,21.195975,72.815503,Sandstorms,Low,2,Snack,scooter,0,No,Urban,12,morning,15,10,55,11,10,5.7
32,4.2,11.000762,76.981876,11.130762,77.111876,Cloudy,Jam,1,Snack,motorcycle,1,No,Metropolitian,38,evening,10,20,35,20,45,28.7
25,4.6,21.173343,72.792731,21.283343,72.902731,Sunny,Low,0,Drinks,motorcycle,1,No,Metropolitian,23,night,15,23,20,23,35,22
39,4.7,26.479108,80.315042,26.499108,80.335042,Cloudy,Low,1,Meal,scooter,0,No,Metropolitian,15,morning,15,10,35,10,50,10
27,4.6,21.175104,72.804342,21.255104,72.884342,Sunny,Low,0,Snack,motorcycle,1,No,Metropolitian,24,night,5,23,45,23,50,16.9
31,4.8,12.975377,77.696664,13.025377,77.746664,Sandstorms,Low,1,Snack,scooter,0,No,Metropolitian,24,night,10,22,15,22,25,16.8
31,4.8,23.359194,85.325447,23.419194,85.385447,Sunny,Low,2,Buffet,electric_scooter,0,No,Metropolitian,13,night,5,23,10,23,15,11.5
36,4.9,23.359407,85.325055,23.439407,85.405055,Cloudy,Medium,0,Drinks,motorcycle,1,No,Urban,42,evening,10,18,25,18,35,16.5
20,4.9,23.416792,85.316842,23.506792,85.406842,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,17,night,10,22,10,22,20,20
24,4.6,26.892312,75.806896,26.922313,75.836896,Cloudy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,25,night,15,20,50,21,5,6.7
39,4.2,22.761593,75.886362,22.871593,75.996362,Fog,Medium,1,Snack,scooter,0,No,Metropolitian,39,evening,5,18,45,18,50,23.2
37,4.8,11.026117,76.944652,11.066117,76.984652,Sunny,High,2,Meal,scooter,0,No,Metropolitian,18,afternoon,10,14,55,15,5,10.1
22,4.5,26.483042,80.317833,26.533042,80.367833,Sandstorms,Low,1,Drinks,scooter,1,No,Metropolitian,18,night,15,22,20,22,35,11.4
33,4.7,23.359033,85.325347,23.469033,85.435347,Fog,Jam,1,Snack,scooter,1,No,Metropolitian,49,night,10,21,10,21,20,21.9
34,4.7,19.121999,72.908493,19.161999,72.948493,Sunny,High,2,Snack,scooter,0,No,Metropolitian,23,afternoon,15,14,20,14,35,10.8
26,5,21.157729,72.768726,21.167729,72.778726,Fog,Low,2,Meal,scooter,1,No,Urban,11,morning,10,10,15,10,25,2.4
31,4.6,22.311603,73.165012,22.371603,73.225012,Cloudy,Jam,0,Snack,motorcycle,0,No,Metropolitian,25,night,15,21,20,21,35,16.9
32,4.9,18.536562,73.896485,18.556562,73.916485,Fog,Low,2,Snack,motorcycle,0,No,Metropolitian,18,morning,5,8,50,8,55,6.3
33,4.4,17.426228,78.407495,17.436228,78.417495,Sandstorms,Low,0,Snack,motorcycle,1,No,Metropolitian,28,morning,10,8,30,8,40,4
20,4.6,12.934365,77.616155,13.024365,77.706155,Fog,Jam,0,Buffet,motorcycle,0,Yes,Metropolitian,44,evening,15,20,35,20,50,17.5
31,4.3,11.003669,76.976494,11.063669,77.036494,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,20,night,15,23,25,23,40,12.3
36,5,22.311358,73.164798,22.381358,73.234798,Fog,Jam,1,Snack,motorcycle,1,No,Metropolitian,35,evening,10,19,55,20,5,19.6
31,4.2,12.986047,80.218114,13.096047,80.328114,Sandstorms,Jam,0,Meal,motorcycle,1,No,Metropolitian,50,night,10,21,20,21,30,25.7
37,4.9,11.026117,76.944652,11.056117,76.974652,Fog,Medium,0,Buffet,motorcycle,1,No,Metropolitian,27,evening,10,18,10,18,20,8.3
31,3.9,19.065838,72.832658,19.135838,72.902658,Cloudy,Low,1,Buffet,scooter,1,No,Metropolitian,35,night,10,23,40,23,50,19
39,4.8,12.310972,76.659264,12.350972,76.699264,Cloudy,High,0,Snack,motorcycle,1,No,Metropolitian,28,afternoon,15,12,30,12,45,13
20,4.7,11.025083,77.015393,11.105083,77.095393,Sandstorms,Medium,0,Drinks,motorcycle,1,No,Metropolitian,24,evening,10,17,10,17,20,17
20,5,12.316967,76.603067,12.446967,76.733067,Cloudy,Jam,0,Meal,motorcycle,1,No,Urban,36,evening,15,19,15,19,30,27.7
29,4.3,22.538731,88.364878,22.598731,88.424878,Sandstorms,Low,0,Buffet,motorcycle,0,No,Metropolitian,28,night,5,23,50,23,55,13.1
36,4.8,11.001753,76.986241,11.111753,77.096241,Fog,Medium,2,Drinks,motorcycle,1,No,Urban,31,evening,5,18,45,18,50,24.3
36,4,22.310237,73.158921,22.400237,73.248921,Sunny,Jam,0,Meal,motorcycle,3,No,Metropolitian,44,evening,5,20,40,20,45,20.3
22,4.8,23.359033,85.325347,23.439033,85.405347,Windy,Low,1,Drinks,scooter,1,No,Metropolitian,15,night,15,22,10,22,25,16.5
38,4.4,18.593481,73.785901,18.663481,73.855901,Windy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,33,evening,5,17,20,17,25,16
39,4.9,21.186438,72.794115,21.236438,72.844115,Fog,Jam,0,Buffet,motorcycle,0,No,Metropolitian,30,evening,15,19,55,20,10,9.1
24,4.9,22.725748,75.898497,22.775748,75.948497,Stormy,Medium,1,Snack,scooter,1,No,Metropolitian,22,evening,10,18,15,18,25,12.4
35,4.8,17.450851,78.379347,17.540851,78.469347,Fog,Medium,0,Meal,motorcycle,3,No,Metropolitian,48,evening,10,17,25,17,35,23.2
39,4.7,10.035573,76.336958,10.105573,76.406958,Windy,Medium,1,Snack,motorcycle,1,No,Urban,21,evening,5,18,30,18,35,16.9
31,4.3,22.308096,73.167753,22.388096,73.247753,Windy,Jam,1,Drinks,motorcycle,0,No,Metropolitian,44,night,10,21,35,21,45,19.7
37,4.5,12.975996,80.221898,12.985996,80.231898,Windy,Low,2,Drinks,scooter,0,No,Metropolitian,26,morning,15,8,40,8,55,2.4
33,5,19.178321,72.834715,19.188321,72.844715,Windy,High,1,Meal,motorcycle,1,No,Metropolitian,31,morning,5,11,45,11,50,2.7
33,4.5,26.910262,75.783013,26.990262,75.863013,Sunny,Jam,1,Snack,scooter,0,No,Metropolitian,18,evening,5,19,10,19,15,17.8
37,4.6,23.359194,85.325447,23.449194,85.415447,Cloudy,Medium,1,Snack,motorcycle,1,No,Metropolitian,32,evening,10,18,15,18,25,16.7
25,4.9,17.458998,78.500366,17.508998,78.550366,Sandstorms,Low,2,Meal,scooter,1,No,Metropolitian,17,night,5,22,30,22,35,10.4
38,4.7,12.321214,76.621094,12.361214,76.661094,Windy,High,2,Buffet,motorcycle,1,No,Metropolitian,31,afternoon,10,13,10,13,20,11.4
25,4.8,19.055831,72.833984,19.115831,72.893984,Cloudy,Jam,2,Snack,motorcycle,1,No,Metropolitian,22,evening,15,19,50,20,5,19.6
35,4.9,12.337928,76.617889,12.407928,76.687889,Fog,Jam,0,Drinks,motorcycle,3,No,Metropolitian,43,night,5,21,15,21,20,15.7
39,4.7,23.351489,85.324253,23.421489,85.394253,Fog,Jam,0,Buffet,motorcycle,1,Yes,Metropolitian,42,evening,10,19,35,19,45,13.2
38,3.9,22.728163,75.884212,22.808163,75.964212,Stormy,Jam,1,Meal,motorcycle,0,No,Metropolitian,42,evening,10,19,10,19,20,18.8
35,4.7,13.026286,80.275235,13.056286,80.305235,Fog,Jam,1,Drinks,motorcycle,1,No,Metropolitian,34,night,10,21,20,21,30,20.9
29,4.7,26.766536,75.837333,26.786536,75.857333,Sandstorms,Low,1,Snack,motorcycle,1,No,Metropolitian,17,morning,15,9,50,10,5,5.6
27,4.6,21.149834,72.778666,21.179834,72.808666,Stormy,Jam,1,Snack,scooter,0,No,Metropolitian,25,evening,5,20,35,20,40,5.9
26,4.1,26.482581,80.315628,26.572581,80.405628,Fog,Jam,2,Meal,motorcycle,1,No,Metropolitian,36,evening,5,19,45,19,50,26.4
36,4.9,12.284747,76.625861,12.344747,76.685861,Sunny,Medium,1,Drinks,motorcycle,0,No,Metropolitian,17,evening,10,17,45,17,55,16.1
20,4.5,12.323194,76.630583,12.363194,76.670583,Fog,High,2,Meal,motorcycle,1,No,Metropolitian,26,afternoon,5,12,50,12,55,10
23,4.6,18.563934,73.915367,18.653934,74.005367,Fog,Jam,0,Snack,motorcycle,2,Yes,Metropolitian,46,night,15,21,40,21,55,25.7
37,5,22.569367,88.433187,22.629367,88.493187,Sunny,Jam,0,Buffet,motorcycle,0,No,Metropolitian,29,evening,10,19,55,20,5,16.2
26,4.8,12.949934,77.699386,13.009934,77.759386,Sandstorms,Jam,0,Snack,motorcycle,1,No,Metropolitian,23,evening,5,19,35,19,40,16.4
26,4.9,22.725835,75.887648,22.835835,75.997648,Stormy,Medium,1,Snack,motorcycle,0,No,Metropolitian,28,evening,15,17,10,17,25,23.8
29,4.8,18.536562,73.896485,18.596562,73.956485,Cloudy,Jam,0,Meal,motorcycle,1,No,Metropolitian,25,evening,5,19,35,19,40,15.2
29,4.7,23.416792,85.316842,23.436792,85.336842,Sandstorms,Low,2,Snack,motorcycle,0,No,Metropolitian,11,morning,15,10,30,10,45,6.5
22,4.3,12.310972,76.659264,12.330972,76.679264,Stormy,Low,0,Meal,motorcycle,1,No,Metropolitian,23,morning,15,10,10,10,25,5.1
31,4,26.913987,75.752891,26.993987,75.832891,Fog,Medium,1,Snack,motorcycle,2,No,Metropolitian,39,evening,15,17,50,18,5,24.9
36,4.8,12.933284,77.615428,13.003284,77.685428,Fog,Medium,0,Snack,motorcycle,1,No,Metropolitian,43,evening,15,17,55,18,10,23.7
25,5,13.086438,80.220672,13.146439,80.280672,Windy,Medium,1,Drinks,motorcycle,0,No,Metropolitian,27,evening,5,18,20,18,25,22.7
27,4.5,17.429585,78.392621,17.469585,78.432621,Windy,Medium,2,Drinks,scooter,1,No,Metropolitian,29,afternoon,15,15,35,15,50,13.3
32,4.1,12.978453,77.643685,13.048453,77.713685,Sandstorms,Medium,0,Buffet,motorcycle,1,No,Metropolitian,33,evening,15,18,15,18,30,12.9
29,4.6,25.449659,81.839744,25.479659,81.869744,Stormy,Jam,1,Meal,scooter,1,No,Metropolitian,29,evening,15,20,30,20,45,7.3
31,4.9,15.585658,73.743606,15.625658,73.783606,Sunny,High,0,Snack,motorcycle,0,No,Metropolitian,28,afternoon,15,14,50,15,5,7.8
36,4.8,26.766536,75.837333,26.896536,75.967333,Sandstorms,Medium,0,Buffet,motorcycle,1,No,Metropolitian,36,evening,5,18,15,18,20,37.5
26,4.7,26.913987,75.752891,27.053987,75.892891,Cloudy,Jam,0,Meal,motorcycle,1,No,Metropolitian,43,evening,5,19,35,19,40,41.7
33,4.7,12.972532,77.608179,13.022532,77.658179,Fog,Medium,2,Buffet,electric_scooter,1,No,Urban,15,evening,15,18,10,18,25,10.1
34,4,19.103249,72.846749,19.193249,72.936749,Windy,Jam,0,Snack,motorcycle,2,No,Metropolitian,39,night,5,21,10,21,15,32.6
36,4.6,17.426228,78.407495,17.506228,78.487495,Windy,Low,0,Buffet,motorcycle,1,No,Metropolitian,20,night,10,23,40,23,50,21.8
27,4.9,12.906229,77.596791,12.986229,77.676791,Fog,Low,2,Drinks,scooter,0,No,Metropolitian,20,night,15,23,25,23,40,21
26,4.8,12.933298,77.614293,13.013298,77.694293,Cloudy,Jam,0,Snack,motorcycle,1,No,Metropolitian,43,evening,10,19,30,19,40,15.6
29,4.5,22.751857,75.866699,22.881857,75.996699,Windy,Low,0,Drinks,motorcycle,0,No,Urban,15,night,10,22,55,23,5,35.7
28,4.6,17.483216,78.552111,17.523216,78.592111,Stormy,High,2,Drinks,motorcycle,0,No,Metropolitian,14,afternoon,15,12,35,12,50,10.4
29,4.7,25.457687,81.835585,25.497687,81.875585,Cloudy,Medium,2,Buffet,motorcycle,1,No,Urban,11,afternoon,5,15,25,15,30,8
28,5,19.875016,75.322405,19.965016,75.412405,Windy,Low,0,Snack,motorcycle,0,No,Urban,15,night,10,22,35,22,45,20.4
25,4.7,19.178321,72.834715,19.248321,72.904715,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,16,night,10,23,35,23,45,17.7
38,4.8,13.026279,80.174568,13.046279,80.194568,Stormy,Low,1,Buffet,motorcycle,1,No,Metropolitian,20,morning,5,10,25,10,30,5.2
39,4.9,17.455894,78.375467,17.485894,78.405467,Stormy,Low,1,Drinks,motorcycle,1,No,Metropolitian,26,night,10,22,20,22,30,12.6
26,4.9,21.149834,72.778666,21.209834,72.838666,Windy,Medium,1,Snack,scooter,0,No,Metropolitian,26,evening,5,17,15,17,20,12
33,4.4,11.022477,76.995667,11.092477,77.065667,Windy,Jam,1,Meal,motorcycle,0,No,Urban,43,night,15,21,30,21,45,14.5
24,4.6,22.310237,73.158921,22.370237,73.218921,Sandstorms,Medium,0,Snack,motorcycle,1,No,Urban,25,evening,10,18,40,18,50,17.2
33,4.5,22.745049,75.892471,22.835049,75.982471,Stormy,Low,2,Buffet,scooter,0,No,Metropolitian,17,night,15,22,50,23,5,24.2
27,4.2,19.178321,72.834715,19.268321,72.924715,Stormy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,33,evening,5,20,30,20,35,21.9
29,4.5,12.979096,77.640625,13.009096,77.670625,Sunny,Medium,0,Snack,motorcycle,0,No,Metropolitian,15,evening,5,18,45,18,50,6.9
34,4.7,27.163303,78.057044,27.293303,78.187044,Fog,Low,1,Buffet,scooter,1,No,Metropolitian,27,night,10,23,10,23,20,31.3
20,4.7,26.482419,80.320939,26.502419,80.340939,Cloudy,High,2,Meal,scooter,1,No,Metropolitian,25,morning,15,11,10,11,25,8.8
29,4.8,22.310237,73.158921,22.350237,73.198921,Sunny,High,1,Drinks,motorcycle,1,No,Metropolitian,18,afternoon,5,13,50,13,55,9.8
22,4.9,22.307898,73.167788,22.367898,73.227788,Stormy,Medium,2,Snack,scooter,0,No,Metropolitian,21,evening,5,18,40,18,45,19
35,4.9,27.160832,78.011608,27.230832,78.081608,Cloudy,Jam,0,Buffet,motorcycle,2,No,Metropolitian,53,night,15,21,15,21,30,26.2
32,4.4,10.027014,76.308053,10.137014,76.418053,Sandstorms,Jam,0,Drinks,motorcycle,3,No,Metropolitian,42,night,10,21,45,21,55,23.1
28,4.9,30.890184,75.829615,31.000184,75.939615,Sunny,Jam,2,Snack,motorcycle,1,No,Metropolitian,20,night,15,21,20,21,35,22.2
30,4.7,11.003681,76.975525,11.133681,77.105525,Fog,Low,1,Meal,scooter,0,No,Metropolitian,29,night,10,22,45,22,55,30.9
22,4.7,12.986047,80.218114,13.096047,80.328114,Stormy,Jam,2,Snack,scooter,0,No,Urban,15,evening,10,20,10,20,20,25.7
36,4.7,11.006686,76.951736,11.056686,77.001736,Fog,Medium,0,Buffet,motorcycle,1,No,Metropolitian,30,evening,15,18,20,18,35,9.8
29,4.5,19.876106,75.340775,20.006106,75.470775,Sandstorms,Low,2,Meal,motorcycle,1,No,Metropolitian,15,night,10,22,30,22,40,39.5
34,4.9,13.005801,80.250744,13.115801,80.360744,Sandstorms,Jam,0,Buffet,motorcycle,3,Yes,Urban,50,night,15,21,50,22,5,25.2
38,4.1,12.933298,77.614293,12.943298,77.624293,Stormy,High,0,Buffet,motorcycle,1,Yes,Metropolitian,41,morning,5,11,50,11,55,3.4
32,4.3,30.328174,78.049117,30.398174,78.119117,Cloudy,Medium,1,Meal,scooter,2,No,Metropolitian,35,evening,15,18,40,18,55,16.5
20,4.5,12.978453,77.643685,13.048453,77.713685,Windy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,27,evening,10,20,25,20,35,13.8
25,4.9,13.058616,80.264151,13.138616,80.344151,Fog,Jam,0,Buffet,motorcycle,2,No,Metropolitian,43,night,5,21,45,21,50,17
31,4.4,22.307898,73.167788,22.417898,73.277788,Stormy,Jam,0,Buffet,motorcycle,1,No,Urban,47,night,5,21,15,21,20,21
37,4.5,21.170096,72.789122,21.220096,72.839122,Fog,Low,0,Buffet,motorcycle,1,No,Urban,26,night,5,23,30,23,35,10.2
36,4.9,30.905562,75.832841,30.995562,75.922841,Cloudy,Medium,2,Snack,electric_scooter,1,No,Metropolitian,31,evening,15,17,15,17,30,22.1
37,3.8,26.849596,75.800512,26.989596,75.940512,Sandstorms,Jam,1,Snack,motorcycle,1,No,Metropolitian,42,evening,10,20,45,20,55,30.1
35,4.9,26.902328,75.794257,26.932328,75.824257,Fog,Medium,2,Meal,electric_scooter,0,No,Metropolitian,18,evening,5,18,35,18,40,7.5
28,4.8,17.428294,78.404423,17.448294,78.424423,Fog,Low,0,Buffet,motorcycle,1,No,Metropolitian,23,morning,15,8,25,8,40,6.7
39,4,12.316967,76.603067,12.446967,76.733067,Stormy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,48,evening,10,17,45,17,55,27.7
29,4.5,12.975377,77.696664,13.055377,77.776664,Windy,Low,1,Snack,scooter,0,No,Urban,13,night,15,22,25,22,40,19.6
39,4.6,13.026286,80.275235,13.046286,80.295235,Sandstorms,High,2,Drinks,motorcycle,1,No,Metropolitian,32,morning,10,11,30,11,40,22.3
25,4.9,12.323978,76.627961,12.453978,76.757961,Sandstorms,Jam,2,Snack,electric_scooter,0,No,Urban,16,night,5,21,45,21,50,38.6
34,5,11.025083,77.015393,11.055083,77.045393,Cloudy,Medium,2,Snack,electric_scooter,0,No,Urban,19,evening,5,17,25,17,30,6.5
22,4.8,12.933284,77.615428,12.953284,77.635428,Sunny,Low,1,Drinks,motorcycle,1,No,Metropolitian,18,morning,5,9,40,9,45,6
27,5,26.492106,80.327797,26.562106,80.397797,Windy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,27,night,10,20,55,21,5,20.4
32,5,10.994136,76.963303,11.024136,76.993303,Stormy,Medium,2,Drinks,scooter,1,No,Metropolitian,31,evening,15,18,25,18,40,6.9
30,4.6,22.308096,73.167753,22.318096,73.177753,Cloudy,Low,0,Buffet,motorcycle,0,No,Urban,24,morning,15,10,40,10,55,3.2
39,4.8,12.323194,76.630583,12.343194,76.650583,Fog,High,2,Drinks,scooter,1,No,Urban,26,morning,5,11,20,11,25,5
20,4.7,18.543626,73.905101,18.623626,73.985101,Sandstorms,Medium,2,Snack,scooter,1,No,Urban,16,evening,5,17,10,17,15,19.5
