Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Daytime,Time_Difference_Minutes,Order_Hour,Order_Minute,Picked_Hour,Picked_Minute
22,4.7,22.311844,73.165081,22.421844,73.275081,Cloudy,Jam,0,Snack,motorcycle,0,Yes,Semi-Urban,49,evening,10,20,25,20,35
28,4.9,26.902908,75.792934,27.012908,75.902934,Sandstorms,Jam,1,Drinks,motorcycle,1,No,Metropolitian,25,night,5,21,25,21,30
23,5.0,26.911927,75.797282,26.981927,75.867282,Cloudy,Jam,1,Meal,scooter,1,No,Metropolitian,44,evening,10,20,30,20,40
39,4.7,17.428294,78.404423,17.448294,78.424423,Stormy,High,2,Snack,motorcycle,1,No,Metropolitian,28,morning,5,11,10,11,15
31,3.9,19.065838,72.832658,19.135838,72.902658,Cloudy,Low,1,Buffet,scooter,1,No,Metropolitian,35,night,10,23,40,23,50
30,4.6,30.899992,75.831338,31.029992,75.961338,Windy,Jam,0,Snack,motorcycle,1,Yes,Metropolitian,43,evening,5,20,20,20,25
36,4.9,30.332735,78.054222,30.372735,78.094222,Fog,High,1,Buffet,scooter,0,No,Metropolitian,26,afternoon,10,13,55,14,5
20,4.8,26.913987,75.752891,26.953987,75.792891,Stormy,Medium,2,Snack,motorcycle,1,No,Metropolitian,27,afternoon,10,16,15,16,25
21,4.6,12.906229,77.596791,13.036229,77.726791,Cloudy,Jam,2,Snack,scooter,1,No,Metropolitian,30,night,5,21,20,21,25
30,4.9,23.416792,85.316842,23.436792,85.336842,Windy,Low,2,Drinks,scooter,1,No,Metropolitian,28,morning,5,9,30,9,35
28,4.7,12.975996,80.221898,13.035996,80.281898,Sunny,Jam,1,Meal,motorcycle,1,No,Urban,17,evening,5,19,15,19,20
32,4.3,17.422819,78.449578,17.432819,78.459578,Windy,Low,0,Meal,motorcycle,1,No,Metropolitian,31,morning,15,8,30,8,45
37,3.7,18.636215,73.751081,18.746215,73.861081,Stormy,Medium,1,Snack,scooter,1,No,Metropolitian,36,evening,5,18,35,18,40
39,5.0,18.533811,73.899315,18.573811,73.939315,Sandstorms,High,2,Snack,electric_scooter,1,No,Metropolitian,26,afternoon,10,12,15,12,25
24,4.6,17.422819,78.449578,17.452819,78.479578,Sandstorms,Medium,1,Buffet,motorcycle,1,No,Metropolitian,25,evening,15,17,50,18,5
30,4.7,18.536718,73.830327,18.586718,73.880327,Windy,Jam,0,Snack,motorcycle,2,No,Metropolitian,44,evening,15,20,10,20,25
39,4.2,26.911378,75.789034,26.991378,75.869034,Fog,Low,0,Meal,motorcycle,1,No,Metropolitian,42,night,10,22,20,22,30
28,5.0,25.454697,81.834492,25.594697,81.974492,Stormy,Jam,1,Buffet,motorcycle,1,No,Urban,17,evening,5,20,30,20,35
29,5.0,22.307898,73.167788,22.417898,73.277788,Sunny,Low,1,Buffet,motorcycle,1,No,Metropolitian,29,night,15,23,20,23,35
35,4.8,25.443994,81.860187,25.453994,81.870187,Sunny,Low,2,Meal,electric_scooter,0,No,Metropolitian,10,morning,5,10,30,10,35
36,4.7,13.022394,80.242439,13.082394,80.302439,Fog,Medium,2,Buffet,electric_scooter,1,No,Metropolitian,17,evening,10,18,30,18,40
34,4.8,19.176269,72.836721,19.206269,72.866721,Windy,Jam,1,Snack,scooter,0,No,Metropolitian,27,night,15,21,35,21,50
36,4.6,22.727021,75.884167,22.747021,75.904167,Sunny,Low,0,Snack,motorcycle,1,No,Metropolitian,28,morning,5,9,10,9,15
23,4.7,18.546947,73.900626,18.656947,74.010626,Cloudy,Low,2,Meal,scooter,1,No,Metropolitian,20,night,15,23,25,23,40
28,4.9,12.304569,76.643622,12.414569,76.753622,Fog,Jam,0,Meal,motorcycle,1,No,Metropolitian,36,evening,10,19,25,19,35
22,4.5,12.321214,76.621094,12.381214,76.681094,Fog,Jam,1,Meal,scooter,0,No,Urban,24,night,5,21,25,21,30
22,4.9,18.516216,73.842527,18.576216,73.902527,Windy,Jam,1,Snack,scooter,1,No,Metropolitian,29,night,10,21,45,21,55
37,4.8,17.426228,78.407495,17.516228,78.497495,Sunny,Medium,1,Buffet,motorcycle,1,No,Metropolitian,17,evening,15,18,35,18,50
26,4.2,22.745049,75.892471,22.755049,75.902471,Sandstorms,Low,0,Drinks,motorcycle,0,No,Metropolitian,27,morning,10,8,15,8,25
22,4.8,12.906229,77.596791,12.946229,77.636791,Windy,Medium,2,Buffet,electric_scooter,0,No,Metropolitian,25,afternoon,5,16,45,16,50
29,4.6,22.551084,88.354127,22.641084,88.444127,Fog,Jam,1,Buffet,scooter,1,No,Metropolitian,33,evening,15,19,25,19,40
27,4.5,22.311844,73.165081,22.441844,73.295081,Fog,Medium,0,Meal,motorcycle,1,No,Urban,34,evening,10,18,10,18,20
36,5.0,23.359194,85.325447,23.399194,85.365447,Windy,High,0,Drinks,motorcycle,1,No,Metropolitian,32,afternoon,10,13,25,13,35
31,4.8,12.325461,76.632278,12.355461,76.662278,Sunny,Jam,2,Meal,motorcycle,0,No,Metropolitian,23,night,5,21,50,21,55
27,4.7,12.323994,76.626167,12.363994,76.666167,Sandstorms,High,1,Meal,scooter,0,No,Urban,26,afternoon,15,14,10,14,25
33,4.4,22.307898,73.167788,22.317898,73.177788,Fog,High,0,Meal,motorcycle,1,No,Urban,32,morning,5,11,45,11,50
36,4.0,17.428294,78.404423,17.478294,78.454423,Stormy,Jam,2,Snack,motorcycle,0,No,Metropolitian,33,night,15,21,50,22,5
29,4.5,17.450851,78.379347,17.460851,78.389347,Windy,Low,0,Meal,motorcycle,1,No,Metropolitian,25,morning,10,10,40,10,50
32,4.9,22.311358,73.164798,22.371358,73.224798,Cloudy,Jam,0,Meal,motorcycle,1,No,Urban,30,evening,15,19,35,19,50
35,4.0,22.311844,73.165081,22.341844,73.195081,Stormy,Low,0,Snack,motorcycle,1,No,Metropolitian,30,night,15,23,30,23,45
36,3.5,12.934179,77.615797,13.064179,77.745797,Cloudy,Low,2,Buffet,scooter,1,No,Metropolitian,34,night,15,22,55,23,10
27,4.6,17.428294,78.404423,17.508294,78.484423,Cloudy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,39,evening,5,19,50,19,55
20,4.8,17.438263,78.397865,17.508263,78.467865,Sandstorms,Jam,2,Snack,scooter,1,No,Metropolitian,25,evening,10,19,25,19,35
39,4.8,17.450851,78.379347,17.500851,78.429347,Windy,Low,2,Buffet,motorcycle,1,No,Metropolitian,29,night,15,22,40,22,55
23,4.1,17.422819,78.449578,17.452819,78.479578,Windy,Low,0,Meal,motorcycle,0,No,Metropolitian,18,night,5,22,50,22,55
32,4.9,12.933284,77.615428,13.063284,77.745428,Fog,Medium,0,Snack,motorcycle,1,No,Metropolitian,40,evening,15,18,40,18,55
20,5.0,13.091809,80.219104,13.201809,80.329104,Cloudy,Jam,1,Snack,motorcycle,1,No,Urban,31,night,5,21,20,21,25
28,4.9,22.725835,75.887648,22.765835,75.927648,Windy,High,2,Snack,motorcycle,0,No,Urban,13,afternoon,10,13,30,13,40
30,4.5,26.921411,75.793604,27.061411,75.933604,Stormy,Low,2,Buffet,electric_scooter,1,No,Metropolitian,26,night,10,22,35,22,45
35,4.6,12.934179,77.615797,12.974179,77.655797,Fog,High,1,Meal,scooter,1,No,Metropolitian,28,afternoon,15,12,25,12,40
33,4.3,30.359722,78.067079,30.439722,78.147079,Stormy,Jam,0,Drinks,motorcycle,1,No,Metropolitian,41,evening,5,20,25,20,30
38,5.0,17.424114,78.347554,17.444114,78.367554,Sunny,Low,1,Snack,motorcycle,1,No,Urban,12,morning,5,8,25,8,30
32,4.7,13.022394,80.242439,13.102394,80.322439,Windy,Low,1,Buffet,motorcycle,0,No,Metropolitian,17,night,10,23,20,23,30
31,5.0,11.022169,76.999594,11.072169,77.049594,Stormy,Jam,2,Snack,scooter,1,No,Metropolitian,34,night,5,21,50,21,55
21,4.7,19.091458,72.827808,19.161458,72.897808,Sunny,Jam,0,Drinks,motorcycle,1,No,Metropolitian,30,evening,15,19,20,19,35
38,4.3,13.081878,80.248519,13.151878,80.318519,Fog,Medium,1,Snack,motorcycle,2,No,Metropolitian,43,evening,15,17,20,17,35
38,4.7,22.311844,73.165081,22.321844,73.175081,Windy,Low,1,Buffet,scooter,1,No,Metropolitian,26,morning,15,8,50,9,5
32,4.5,27.195928,77.998092,27.265928,78.068092,Fog,Jam,0,Drinks,motorcycle,1,No,Metropolitian,41,night,5,21,10,21,15
27,4.8,23.235123,77.398886,23.325123,77.488886,Cloudy,Jam,0,Drinks,motorcycle,1,No,Metropolitian,48,night,10,21,25,21,35
24,4.6,26.471529,80.313458,26.531529,80.373458,Windy,Medium,0,Snack,motorcycle,0,No,Urban,10,evening,5,18,45,18,50
23,4.8,26.902328,75.794257,26.942328,75.834257,Cloudy,Medium,1,Meal,scooter,0,No,Urban,12,afternoon,10,15,20,15,30
37,4.7,22.725748,75.898497,22.755747,75.928497,Sunny,Medium,1,Buffet,scooter,0,No,Metropolitian,16,evening,15,17,20,17,35
37,4.9,13.026286,80.275235,13.106286,80.355235,Sandstorms,Medium,2,Meal,scooter,1,No,Urban,26,evening,5,18,45,18,50
32,4.9,10.027014,76.308053,10.117014,76.398053,Fog,Jam,0,Meal,motorcycle,3,Yes,Metropolitian,54,evening,5,19,10,19,15
35,4.7,26.483042,80.317833,26.533042,80.367833,Sunny,Low,0,Buffet,motorcycle,1,No,Metropolitian,27,night,5,22,50,22,55
35,4.7,26.849596,75.800512,26.989596,75.940512,Windy,Low,2,Snack,scooter,0,No,Metropolitian,15,night,10,22,35,22,45
38,3.7,26.911927,75.797282,27.001927,75.887282,Sandstorms,Medium,1,Drinks,motorcycle,1,No,Metropolitian,39,evening,5,17,45,17,50
30,4.7,12.337928,76.617889,12.397928,76.677889,Sandstorms,Medium,0,Meal,motorcycle,1,No,Metropolitian,29,evening,5,17,40,17,45
20,4.6,19.055831,72.833984,19.085831,72.863984,Cloudy,Medium,1,Snack,motorcycle,1,No,Urban,16,evening,10,18,20,18,30
24,4.8,18.543626,73.905101,18.553626,73.915101,Sandstorms,Low,2,Meal,motorcycle,0,No,Urban,10,morning,10,8,25,8,35
26,4.7,26.902908,75.792934,26.922908,75.812934,Cloudy,Low,0,Drinks,motorcycle,0,No,Metropolitian,19,morning,15,8,40,8,55
32,4.9,12.284747,76.625861,12.304747,76.645861,Sunny,High,1,Buffet,scooter,1,No,Metropolitian,24,morning,15,11,25,11,40
26,4.7,22.744648,75.894377,22.804648,75.954377,Windy,Medium,0,Meal,motorcycle,1,No,Metropolitian,21,evening,10,18,40,18,50
21,4.1,18.536562,73.896485,18.596562,73.956485,Windy,Jam,0,Drinks,motorcycle,2,No,Metropolitian,37,night,10,21,40,21,50
28,4.7,17.430448,78.418213,17.490448,78.478213,Windy,Jam,2,Meal,motorcycle,1,No,Metropolitian,16,evening,5,20,30,20,35
28,4.8,17.458998,78.500366,17.468998,78.510366,Stormy,Low,2,Drinks,electric_scooter,0,No,Metropolitian,15,morning,5,10,40,10,45
21,4.9,12.975996,80.221898,13.005996,80.251898,Windy,Jam,2,Drinks,scooter,0,No,Metropolitian,10,evening,5,20,25,20,30
35,4.9,21.149669,72.772629,21.219669,72.842629,Fog,Medium,2,Meal,electric_scooter,1,No,Metropolitian,33,evening,15,18,55,19,10
23,5.0,22.761226,75.887522,22.771226,75.897522,Sunny,Low,2,Meal,scooter,0,No,Metropolitian,19,morning,15,9,50,10,5
32,4.6,25.449659,81.839744,25.539659,81.929744,Windy,Jam,2,Drinks,motorcycle,0,No,Metropolitian,25,night,5,21,50,21,55
33,4.0,15.303897,73.914336,15.353897,73.964336,Stormy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,34,evening,5,17,35,17,40
23,4.0,12.906229,77.596791,12.976229,77.666791,Fog,Jam,1,Buffet,scooter,1,No,Metropolitian,37,evening,10,19,45,19,55
37,3.6,18.546258,73.904337,18.636258,73.994337,Windy,Medium,1,Drinks,scooter,1,No,Metropolitian,36,evening,10,17,40,17,50
33,4.3,12.934365,77.616155,13.014365,77.696155,Sunny,Medium,0,Buffet,motorcycle,1,No,Metropolitian,38,evening,10,17,25,17,35
36,4.6,12.972793,80.249982,13.062793,80.339982,Sunny,Jam,0,Snack,motorcycle,1,No,Metropolitian,28,night,10,21,20,21,30
34,5.0,25.449872,81.836167,25.459872,81.846167,Stormy,High,0,Buffet,motorcycle,2,No,Metropolitian,37,morning,5,11,40,11,45
29,5.0,17.426228,78.407495,17.446228,78.427495,Sandstorms,High,2,Snack,scooter,1,No,Urban,24,morning,10,11,30,11,40
34,4.9,19.176269,72.836721,19.216269,72.876721,Cloudy,Medium,0,Meal,motorcycle,1,No,Metropolitian,33,afternoon,15,15,15,15,30
29,4.0,22.751857,75.866699,22.831857,75.946699,Cloudy,Medium,1,Drinks,scooter,0,No,Metropolitian,34,evening,10,17,30,17,40
32,4.5,23.416792,85.316842,23.456792,85.356842,Cloudy,High,2,Buffet,motorcycle,1,No,Metropolitian,27,afternoon,5,12,20,12,25
30,4.8,15.303897,73.914336,15.413897,74.024336,Sunny,Jam,2,Buffet,scooter,1,No,Urban,26,evening,10,19,55,20,5
21,5.0,19.120083,72.907385,19.160083,72.947385,Fog,Medium,1,Snack,scooter,1,No,Metropolitian,10,afternoon,15,15,20,15,35
33,4.2,21.160522,72.771477,21.250522,72.861477,Windy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,31,evening,15,17,20,17,35
25,4.9,12.934365,77.616155,13.024365,77.706155,Cloudy,Low,0,Drinks,motorcycle,1,No,Metropolitian,21,night,15,23,30,23,45
33,4.3,12.949934,77.699386,13.059934,77.809386,Sandstorms,Medium,0,Meal,motorcycle,1,No,Metropolitian,40,evening,15,17,20,17,35
27,5.0,23.351058,85.325731,23.371058,85.345731,Sunny,Low,1,Meal,scooter,0,No,Metropolitian,18,morning,15,9,25,9,40
27,5.0,18.546947,73.900626,18.626947,73.980626,Stormy,Jam,1,Snack,scooter,0,No,Metropolitian,15,night,15,21,35,21,50
37,4.6,18.539299,73.897902,18.549299,73.907902,Stormy,Low,1,Drinks,motorcycle,1,No,Urban,24,morning,5,8,30,8,35
23,4.7,12.334022,76.618203,12.424022,76.708203,Stormy,Low,1,Meal,motorcycle,1,No,Urban,16,night,10,23,30,23,40
29,4.9,26.911378,75.789034,26.921378,75.799034,Fog,Low,0,Buffet,motorcycle,1,No,Metropolitian,17,morning,10,8,15,8,25
33,5.0,21.186438,72.794115,21.276438,72.884115,Sunny,Medium,1,Drinks,scooter,1,No,Metropolitian,17,evening,5,18,35,18,40
39,3.8,26.766536,75.837333,26.846536,75.917333,Windy,Jam,1,Meal,scooter,1,No,Metropolitian,37,evening,15,20,35,20,50
24,4.7,12.297954,76.665169,12.307954,76.675169,Cloudy,High,2,Drinks,scooter,1,No,Metropolitian,32,morning,10,11,10,11,20
38,4.7,22.725835,75.887648,22.785835,75.947648,Sandstorms,Medium,0,Buffet,motorcycle,1,No,Urban,33,evening,10,17,30,17,40
21,4.6,11.016298,76.972076,11.046298,77.002076,Stormy,Medium,1,Buffet,motorcycle,0,No,Metropolitian,23,evening,10,17,55,18,5
26,4.7,26.956431,75.776649,27.006431,75.826649,Windy,Jam,0,Snack,motorcycle,1,No,Metropolitian,26,evening,10,19,15,19,25
26,5.0,12.334022,76.618203,12.364022,76.648203,Stormy,Low,1,Drinks,scooter,1,No,Urban,16,night,15,23,40,23,55
21,4.5,26.913483,75.803139,26.983483,75.873139,Sandstorms,Medium,2,Buffet,motorcycle,1,No,Metropolitian,18,evening,5,17,10,17,15
21,4.5,22.310329,73.169083,22.370329,73.229083,Fog,Low,1,Meal,scooter,1,No,Urban,18,night,10,23,20,23,30
37,4.7,27.158822,78.045359,27.208822,78.095359,Windy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,29,evening,5,19,15,19,20
21,4.8,26.911378,75.789034,26.961378,75.839034,Sunny,Jam,1,Meal,scooter,1,No,Metropolitian,18,evening,15,20,35,20,50
24,4.9,19.065838,72.832658,19.075838,72.842658,Sunny,Low,2,Snack,scooter,1,No,Metropolitian,18,morning,5,8,50,8,55
31,4.4,21.160437,72.774209,21.240437,72.854209,Stormy,Medium,0,Buffet,motorcycle,2,No,Metropolitian,41,evening,5,17,35,17,40
26,4.6,10.027364,76.308258,10.077364,76.358258,Cloudy,Low,0,Buffet,motorcycle,1,No,Urban,18,night,15,22,20,22,35
28,5.0,26.905287,75.794592,26.985287,75.874592,Stormy,Low,1,Buffet,motorcycle,0,No,Urban,13,night,15,22,55,23,10
30,4.9,10.027014,76.308053,10.107014,76.388053,Cloudy,Low,0,Snack,motorcycle,1,No,Metropolitian,35,night,10,23,25,23,35
30,4.9,18.569156,73.774723,18.629156,73.834723,Sunny,Low,1,Snack,scooter,1,No,Metropolitian,11,night,15,23,10,23,25
37,4.4,19.866969,75.318894,19.946969,75.398894,Fog,Low,1,Drinks,motorcycle,0,No,Metropolitian,32,night,10,22,20,22,30
26,4.8,13.064181,80.236442,13.124181,80.296442,Cloudy,Medium,2,Buffet,motorcycle,1,No,Urban,15,evening,15,17,30,17,45
30,4.7,23.374989,85.335486,23.484989,85.445486,Windy,Medium,0,Meal,motorcycle,1,No,Metropolitian,30,evening,15,18,50,19,5
26,4.9,15.561295,73.749478,15.631295,73.819478,Sunny,Low,0,Meal,motorcycle,1,No,Metropolitian,24,night,5,22,45,22,50
29,4.9,22.727021,75.884167,22.737021,75.894167,Sandstorms,Low,1,Meal,scooter,1,No,Urban,15,morning,5,9,10,9,15
22,4.9,18.994049,72.825203,19.044049,72.875203,Sunny,Jam,2,Snack,scooter,0,No,Urban,11,evening,10,20,35,20,45
