,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Time_Orderd_hour,Time_Orderd_minute,Time_Order_picked_hour,Time_Order_picked_minute,onground_dist,Time_of_day
27,23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,21,40,22,10,8.5,Evening
28,37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,16,45,22,10,1.6,Afternoon
29,33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,11,30,22,10,5.9,Morning
30,28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20,45,22,10,4.9,Evening
31,31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,22,50,22,10,15.2,Evening
32,25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,22,25,22,10,16.7,Evening
33,30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,22,40,22,10,19.1,Evening
34,33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,23,50,22,10,21.2,Evening
35,21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,10,20,22,10,33.7,Morning
36,39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,20,10,22,10,5.6,Evening
37,22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,12,10,22,10,13.2,Morning
38,32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,15,30,22,10,12.3,Afternoon
39,35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,20,25,22,10,9.6,Evening
40,34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,12,35,22,10,1.7,Morning
41,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,18,15,22,10,8.5,Afternoon
42,25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,18,20,22,10,30.4,Afternoon
43,30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,11,45,22,10,,Morning
44,24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,20,45,22,10,17.4,Evening
45,37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,23,30,22,10,14.3,Evening
46,24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,10,50,22,10,26.2,Morning
47,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,21,25,22,10,26.1,Evening
48,32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,10,10,22,10,,Morning
49,36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,17,50,22,10,1.8,Afternoon
50,29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,22,20,22,10,,Evening
51,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,23,40,22,10,24.9,Evening
52,33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,23,25,22,10,8.6,Evening
53,36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,12,40,22,10,15.3,Morning
54,21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,23,30,22,10,35.9,Evening
55,25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,10,25,22,10,10.1,Morning
56,27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,21,25,22,10,4.2,Evening
57,23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,22,35,22,10,20.5,Evening
58,21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,20,10,22,10,,Evening
59,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,10,55,22,10,,Morning
60,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20,35,22,10,26.4,Evening
61,25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,23,20,22,10,8.6,Evening
62,39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,10,35,22,10,7.8,Morning
63,27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,23,45,22,10,,Evening
64,31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,22,15,22,10,,Evening
65,31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,23,10,22,10,10.9,Evening
66,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,18,25,22,10,17.3,Afternoon
67,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,22,10,22,10,,Evening
68,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,20,50,22,10,19.8,Evening
69,39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,18,45,22,10,17.3,Afternoon
70,37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,14,55,22,10,9.3,Afternoon
71,22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,22,20,22,10,29.0,Evening
72,33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,21,10,22,10,,Evening
73,34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,14,20,22,10,26.1,Afternoon
74,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,10,15,22,10,35.9,Morning
75,31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,21,20,22,10,5.0,Evening
76,32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,8,50,22,10,16.2,Morning
77,33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,8,30,22,10,10.6,Morning
78,20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,20,35,22,10,8.7,Evening
79,31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,23,25,22,10,15.5,Evening
80,36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,19,55,22,10,2.8,Evening
81,31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,21,20,22,10,28.7,Evening
82,37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,18,10,22,10,3.1,Afternoon
83,31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,23,40,22,10,,Evening
84,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,12,30,22,10,4.4,Morning
85,20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,17,10,22,10,17.9,Afternoon
86,20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,19,15,22,10,21.7,Evening
87,29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,23,50,22,10,14.7,Evening
88,36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,18,45,22,10,25.7,Afternoon
89,36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,20,40,22,10,10.7,Evening
90,22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,22,10,22,10,11.7,Evening
91,38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,17,20,22,10,29.5,Afternoon
92,39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,19,55,22,10,7.0,Evening
93,24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,18,15,22,10,43.4,Afternoon
94,35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,17,25,22,10,3.1,Afternoon
95,39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,18,30,22,10,4.4,Afternoon
96,31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,21,35,22,10,18.4,Evening
97,37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,8,40,22,10,24.9,Morning
98,33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,11,45,22,10,32.3,Morning
99,33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,19,10,22,10,6.2,Evening
100,37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,18,15,22,10,28.7,Afternoon
101,25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,22,30,22,10,23.4,Evening
102,38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,13,10,22,10,9.5,Afternoon
103,25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,19,50,22,10,16.9,Evening
104,35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,21,15,22,10,25.6,Evening
105,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,19,35,22,10,16.8,Evening
106,38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,19,10,22,10,11.4,Evening
107,35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,21,20,22,10,3.0,Evening
108,29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,9,50,22,10,16.5,Morning
109,27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,20,35,22,10,20.0,Evening
110,26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,19,45,22,10,6.8,Evening
111,36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,17,45,22,10,22.9,Afternoon
112,20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,12,50,22,10,20.4,Morning
113,23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,21,40,22,10,10.1,Evening
114,37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,19,55,22,10,9.6,Evening
115,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,19,35,22,10,11.4,Evening
116,26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,17,10,22,10,28.7,Afternoon
117,29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,19,35,22,10,21.9,Evening
118,29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,10,30,22,10,9.4,Morning
119,22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,10,10,22,10,21.3,Morning
120,31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,17,50,22,10,10.8,Afternoon
121,36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,17,55,22,10,2.4,Afternoon
122,25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,18,20,22,10,16.9,Afternoon
123,27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,15,35,22,10,6.3,Afternoon
124,32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,18,15,22,10,4.5,Afternoon
125,29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,20,30,22,10,24.9,Evening
126,31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,14,50,22,10,17.2,Afternoon
127,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,18,15,22,10,,Afternoon
128,26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,19,35,22,10,4.0,Evening
129,33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,18,10,22,10,17.0,Afternoon
130,34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,21,10,22,10,12.8,Evening
131,36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,23,40,22,10,9.9,Evening
132,27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,23,25,22,10,22.1,Evening
133,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,19,30,22,10,25.7,Evening
134,29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,22,55,22,10,14.6,Evening
135,28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,12,35,22,10,16.3,Morning
136,29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,15,25,22,10,7.9,Afternoon
137,28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,22,35,22,10,9.3,Evening
138,25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,23,35,22,10,,Evening
139,38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,10,25,22,10,16.0,Morning
140,39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,22,20,22,10,,Evening
141,26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,17,15,22,10,13.6,Afternoon
142,33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,21,30,22,10,22.3,Evening
143,24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25,18,40,22,10,,Afternoon
144,33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,22,50,22,10,,Evening
145,27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20,30,22,10,10.0,Evening
146,29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,18,45,22,10,17.0,Afternoon
147,34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,23,10,22,10,36.1,Evening
148,20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,11,10,22,10,13.1,Morning
149,29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,18,13,50,22,10,26.4,Afternoon
150,22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21,18,40,22,10,20.3,Afternoon
151,35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,21,15,22,10,16.5,Evening
152,32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42,21,45,22,10,16.0,Evening
153,28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,20,21,20,22,10,10.5,Evening
154,30.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,29,22,45,22,10,12.4,Evening
155,22.0,4.7,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,15,20,10,22,10,,Evening
156,36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,18,20,22,10,23.2,Afternoon
157,29.0,4.5,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,15,22,30,22,10,20.6,Evening
158,34.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,50,21,50,22,10,16.9,Evening
159,38.0,4.1,Stormy,High,0,Buffet,motorcycle,1.0,Yes,Metropolitian,41,11,50,22,10,19.7,Morning
160,32.0,4.3,Cloudy,Medium,1,Meal,scooter,2.0,No,Metropolitian,35,18,40,22,10,2.4,Afternoon
161,20.0,4.5,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,27,20,25,22,10,8.6,Evening
162,25.0,4.9,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,43,21,45,22,10,2.7,Evening
163,31.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Urban,47,21,15,22,10,,Evening
164,37.0,4.5,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,26,23,30,22,10,17.8,Evening
165,36.0,4.9,Cloudy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,31,17,15,22,10,16.5,Afternoon
166,37.0,3.8,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,42,20,45,22,10,16.7,Evening
167,35.0,4.9,Fog,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,18,18,35,22,10,10.4,Afternoon
168,28.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,8,25,22,10,12.9,Morning
169,39.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,48,17,45,22,10,8.9,Afternoon
170,29.0,4.5,Windy,Low,1,Snack,scooter,0.0,No,Urban,13,22,25,22,10,12.8,Evening
171,39.0,4.6,Sandstorms,High,2,Drinks,motorcycle,1.0,No,Metropolitian,32,11,30,22,10,13.7,Morning
172,25.0,4.9,Sandstorms,Jam,2,Snack,electric_scooter,0.0,No,Urban,16,21,45,22,10,17.4,Evening
173,34.0,5.0,Cloudy,Medium,2,Snack,electric_scooter,0.0,No,Urban,19,17,25,22,10,18.3,Afternoon
174,22.0,4.8,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,9,40,22,10,13.0,Morning
175,27.0,5.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20,55,22,10,18.8,Evening
176,32.0,5.0,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,31,18,25,22,10,20.9,Afternoon
177,30.0,4.6,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Urban,24,10,40,22,10,4.8,Morning
178,39.0,4.8,Fog,High,2,Drinks,scooter,1.0,No,Urban,26,11,20,22,10,5.8,Morning
179,20.0,4.7,Sandstorms,Medium,2,Snack,scooter,1.0,No,Urban,16,17,10,22,10,22.9,Afternoon
180,34.0,4.2,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,24,23,10,22,10,14.3,Evening
181,37.0,4.3,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,34,11,55,22,10,12.4,Morning
182,33.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,22,40,22,10,26.4,Evening
183,21.0,5.0,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,25,17,10,22,10,16.1,Afternoon
184,28.0,4.6,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,16,19,45,22,10,4.0,Evening
185,21.0,4.7,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,27,20,30,22,10,16.2,Evening
186,39.0,4.9,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,25,11,10,22,10,10.7,Morning
187,20.0,4.5,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,25,19,30,22,10,21.6,Evening
188,36.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,15,8,20,22,10,16.2,Morning
189,32.0,4.5,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20,30,22,10,16.4,Evening
190,30.0,4.7,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,22,25,22,10,17.2,Evening
191,23.0,4.6,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,27,21,30,22,10,23.8,Evening
192,31.0,4.2,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,17,25,22,10,16.3,Afternoon
193,20.0,4.5,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20,15,22,10,6.5,Evening
194,22.0,4.9,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,11,8,25,22,10,6.2,Morning
195,20.0,4.7,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Urban,13,17,15,22,10,5.1,Afternoon
196,32.0,4.5,Cloudy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,27,12,20,22,10,24.9,Morning
197,34.0,4.9,Sunny,Low,2,Snack,scooter,1.0,No,Metropolitian,26,22,55,22,10,6.3,Evening
198,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,17,25,22,10,20.6,Afternoon
199,34.0,4.5,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,25,10,35,22,10,23.7,Morning
200,34.0,4.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,19,50,22,10,9.8,Evening
201,26.0,4.6,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,32,19,30,22,10,2.9,Evening
202,32.0,5.0,Cloudy,Jam,2,Buffet,scooter,1.0,No,Urban,27,21,55,22,10,22.7,Evening
203,32.0,4.5,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,17,10,22,10,10.6,Afternoon
204,39.0,4.1,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,32,18,40,22,10,13.8,Afternoon
205,36.0,4.8,Stormy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,25,10,15,22,10,8.6,Morning
206,38.0,3.7,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,31,20,30,22,10,24.0,Evening
207,28.0,4.7,Stormy,High,2,Drinks,scooter,1.0,No,Metropolitian,28,11,40,22,10,,Morning
208,34.0,3.8,Stormy,Medium,1,Meal,scooter,0.0,No,Metropolitian,31,18,40,22,10,22.1,Afternoon
209,32.0,4.9,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,29,23,15,22,10,6.1,Evening
210,22.0,4.7,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,17,23,35,22,10,31.0,Evening
211,31.0,4.0,Windy,Medium,0,Drinks,motorcycle,3.0,Yes,Metropolitian,45,17,45,22,10,2.0,Afternoon
212,29.0,4.9,Windy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,24,19,35,22,10,10.3,Evening
213,38.0,4.8,Sandstorms,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,21,40,22,10,7.8,Evening
214,35.0,4.8,Cloudy,Jam,2,Snack,motorcycle,2.0,No,Metropolitian,36,20,50,22,10,,Evening
215,31.0,4.9,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,28,20,30,22,10,23.0,Evening
216,30.0,4.3,Windy,Medium,1,Drinks,scooter,2.0,No,Metropolitian,37,18,35,22,10,37.5,Afternoon
217,33.0,4.8,Stormy,Low,2,Drinks,motorcycle,0.0,No,Urban,23,23,15,22,10,29.7,Evening
218,29.0,4.6,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,22,23,40,22,10,30.7,Evening
219,38.0,4.6,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,26,12,45,22,10,22.7,Morning
220,26.0,4.9,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,34,20,15,22,10,,Evening
221,26.0,4.7,Windy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,14,22,45,22,10,10.9,Evening
222,35.0,4.7,Cloudy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,17,15,10,22,10,,Afternoon
