,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),onground_dist
25,0x30c8,PUNERES19DEL02,32,4.6,18.563934,73.915367,18.693935,74.045367,2/4/2022,22:35,22:45,Cloudy,Low,2,Drinks,scooter,1,No,Metropolitian,30,26.2
26,0xb843,PUNERES02DEL01,33,4.9,18.55144,73.804855,18.62144,73.874855,8/3/2022,18:55,19:10,Sunny,Medium,1,Snack,motorcycle,1,No,Metropolitian,22,17.3
27,0xb3a0,PUNERES18DEL01,20,4.7,18.593481,73.785901,18.633481,73.825901,3/4/2022,14:15,14:25,Windy,High,1,Snack,scooter,0,No,Urban,10,8.5
28,0x6531,SURRES08DEL01,20,4.8,21.173343,72.792731,21.183343,72.802731,30-03-2022,0.458333333,11:10,Sandstorms,Low,2,Meal,scooter,1,No,Metropolitian,19,1.6
29,0x4bda,HYDRES17DEL02,35,5,17.451976,78.385883,17.471976,78.405883,1/4/2022,9:45,9:55,Sunny,Low,2,Snack,scooter,1,No,Urban,11,5.9
30,0x9d26,BANGRES17DEL02,26,4.9,12.972532,77.608179,12.992532,77.628179,28-03-2022,8:40,8:55,Stormy,Low,2,Buffet,scooter,0,No,Metropolitian,11,4.9
31,0x9b18,BANGRES17DEL01,22,4.8,12.972532,77.608179,13.042532,77.678179,18-03-2022,0.958333333,23:10,Fog,Low,1,Snack,motorcycle,1,No,Metropolitian,28,15.2
32,0x5d99,CHENRES11DEL01,35,4.3,13.064181,80.236442,13.134181,80.306442,14-03-2022,17:25,17:30,Cloudy,Medium,1,Snack,motorcycle,1,No,Metropolitian,33,16.7
33,0x4f0,MUMRES17DEL02,,,19.121999,72.908493,19.201999,72.988493,6/4/2022,,18:35,Cloudy,Medium,1,Drinks,scooter,1,No,Metropolitian,33,19.1
34,0xb796,SURRES17DEL03,37,4.7,21.149569,72.772697,21.239569,72.862697,4/4/2022,19:45,19:50,Sandstorms,Jam,0,Snack,motorcycle,3,No,Metropolitian,52,21.2
35,0x85b4,MUMRES07DEL01,28,4.6,19.091458,72.827808,19.201458,72.937808,8/3/2022,19:10,19:25,Stormy,Jam,1,Snack,scooter,1,No,Metropolitian,22,33.7
36,0xc644,KOLRES16DEL02,37,4.9,22.539129,88.365507,22.559129,88.385507,13-02-2022,10:55,0.458333333,Fog,Low,1,Snack,scooter,1,No,Urban,16,5.6
37,0x6999,MUMRES02DEL03,23,4.9,19.221315,72.862381,19.281315,72.922381,24-03-2022,21:40,21:45,Sunny,Jam,2,Drinks,electric_scooter,0,No,Metropolitian,11,13.2
38,0x63b6,BANGRES05DEL03,27,4.9,12.970324,77.645748,13.030324,77.705748,19-03-2022,0.791666667,19:15,Windy,Medium,1,Drinks,scooter,1,No,Metropolitian,25,12.3
39,0xa30b,CHENRES11DEL01,37,4.8,13.064181,80.236442,13.104181,80.276442,9/3/2022,16:45,16:55,Cloudy,Medium,0,Drinks,motorcycle,1,No,Urban,26,9.6
40,0x3556,SURRES09DEL01,33,5,21.175975,72.795503,21.185975,72.805503,19-03-2022,11:30,11:40,Sunny,High,2,Snack,scooter,1,No,Metropolitian,18,1.7
41,0x5554,RANCHIRES15DEL01,31,4.9,23.369746,85.33982,23.409746,85.37982,3/4/2022,15:10,15:15,Fog,Medium,1,Snack,motorcycle,1,No,Metropolitian,16,8.5
42,0x25fd,BANGRES19DEL01,31,4.8,12.914264,77.6784,13.024264,77.7884,25-03-2022,22:45,22:55,Stormy,Low,2,Drinks,scooter,1,No,Metropolitian,23,30.4
43,0xc1ff,AURGRES20DEL03,25,5,0,0,0.03,0.03,13-02-2022,22:10,22:25,Cloudy,Low,0,Snack,motorcycle,0,No,Metropolitian,15,
44,0x7ac8,COIMBRES14DEL02,28,4.8,11.003681,76.975525,11.083681,77.055525,4/4/2022,20:45,20:55,Sandstorms,Jam,0,Drinks,motorcycle,1,No,Metropolitian,36,17.4
45,0x3da1,SURRES08DEL03,31,4.7,21.173343,72.792731,21.233343,72.852731,26-03-2022,22:50,23:05,Cloudy,Low,2,Snack,motorcycle,0,No,Metropolitian,16,14.3
46,0x272d,COIMBRES07DEL03,24,4.7,10.96185,76.971082,11.05185,77.061082,10/3/2022,17:55,0.75,Sunny,Medium,0,Buffet,motorcycle,0,No,Urban,19,26.2
47,0xddc5,AGRRES12DEL03,39,4.6,27.165108,78.015053,27.255108,78.105053,14-02-2022,22:45,0.958333333,Sunny,Low,1,Snack,motorcycle,1,No,Metropolitian,27,26.1
48,0x8e6c,VADRES02DEL02,39,4.2,0,0,0.08,0.08,2/3/2022,20:35,20:50,Fog,Jam,2,Snack,scooter,1,No,Semi-Urban,49,
49,0xb002,JAPRES14DEL01,32,4.5,26.88842,75.800689,26.89842,75.810689,26-03-2022,9:25,9:40,Windy,Low,2,Buffet,scooter,0,No,,20,1.8
50,0x395b,VADRES04DEL03,36,4.7,0,0,0.06,0.06,13-03-2022,20:15,20:20,Cloudy,Jam,1,Snack,motorcycle,1,No,Metropolitian,30,
51,0x8aa2,JAPRES18DEL02,25,4.8,26.913987,75.752891,26.993987,75.832891,29-03-2022,22:25,22:35,Sandstorms,Low,1,Drinks,scooter,0,No,Urban,18,24.9
52,0xb55a,MYSRES04DEL03,33,4.9,12.3085,76.665808,12.3385,76.695808,30-03-2022,21:55,0.916666667,Sunny,Jam,2,Drinks,scooter,0,No,Metropolitian,22,8.6
53,0x73cc,SURRES12DEL01,30,4.4,21.183434,72.814492,21.253434,72.884492,12/3/2022,22:40,22:55,Cloudy,Low,2,Drinks,scooter,1,No,Metropolitian,34,15.3
54,0xbe80,MUMRES04DEL01,33,5,19.254567,72.848923,19.364567,72.958923,31-03-2022,23:50,23:55,Sandstorms,Low,0,Buffet,motorcycle,0,No,Urban,24,35.9
55,0x1609,PUNERES02DEL01,36,4.9,18.55144,73.804855,18.59144,73.844855,17-03-2022,15:25,15:40,Fog,Medium,2,Drinks,scooter,1,No,Metropolitian,17,10.1
56,0xd255,ALHRES07DEL02,21,4.8,25.449659,81.839744,25.469659,81.859744,15-02-2022,10:20,10:30,Sandstorms,Low,2,Meal,electric_scooter,0,No,Metropolitian,14,4.2
57,0xde72,DEHRES19DEL02,39,4.9,30.372202,78.077151,30.422202,78.127151,15-02-2022,20:55,0.875,Stormy,Jam,2,Meal,motorcycle,1,No,Metropolitian,30,20.5
58,0x98aa,VADRES16DEL02,23,4.8,0,0,0.02,0.02,7/3/2022,10:40,10:50,Stormy,Low,1,Meal,scooter,1,No,Metropolitian,15,
59,0x273a,VADRES09DEL01,35,4.8,0,0,0.04,0.04,28-03-2022,15:55,16:05,Fog,Medium,2,Buffet,scooter,1,No,Urban,16,
60,0xa258,CHENRES12DEL03,39,4.6,12.972793,80.249982,13.062793,80.339982,16-03-2022,20:10,20:15,Cloudy,Jam,1,Snack,scooter,1,No,Metropolitian,36,26.4
61,0x8b53,SURRES11DEL01,22,4.7,21.157735,72.768778,21.197735,72.808778,17-03-2022,12:10,12:15,Sunny,High,1,Buffet,scooter,1,No,Urban,18,8.6
62,0xbbde,SURRES01DEL01,32,4.6,21.186438,72.794115,21.226438,72.834115,15-03-2022,15:30,15:45,Fog,Medium,1,Meal,scooter,0,No,Metropolitian,17,7.8
63,0x5ded,VADRES15DEL02,24,4.8,0,0,0.08,0.08,25-03-2022,22:10,22:15,Sandstorms,Low,1,Buffet,motorcycle,1,No,Urban,15,
64,0x1a70,MYSRES14DEL02,29,4.7,0,0,0.02,0.02,9/3/2022,10:35,10:45,Fog,Low,0,Buffet,motorcycle,1,No,Metropolitian,17,
65,0xa9f,BANGRES13DEL01,,,12.935662,77.61413,12.975662,77.65413,11/3/2022,,15:30,,,1,Drinks,scooter,0,No,Metropolitian,19,10.9
66,0x4b7f,HYDRES13DEL03,26,4.7,17.431477,78.40035,17.491477,78.46035,5/3/2022,23:50,24:05:00,Fog,Low,1,Buffet,motorcycle,0,No,Metropolitian,10,17.3
67,0xc606,BHPRES12DEL02,20,4.5,0,0,0.05,0.05,11/2/2022,21:10,21:25,Fog,Jam,1,Drinks,motorcycle,1,No,Metropolitian,27,
68,0xb962,CHENRES11DEL03,35,4.1,13.064181,80.236442,13.154181,80.326442,12/3/2022,20:25,20:40,Sandstorms,Jam,1,Buffet,motorcycle,2,No,Metropolitian,37,19.8
69,0x633c,BANGRES010DEL03,39,4.6,12.933298,77.614293,13.023298,77.704293,29-03-2022,20:50,0.875,Fog,Jam,1,Drinks,scooter,2,No,Metropolitian,44,17.3
70,0x2dc6,VADRES20DEL01,34,4.7,22.311358,73.164798,22.351358,73.204798,19-03-2022,12:35,12:45,Windy,High,2,Drinks,electric_scooter,1,No,Metropolitian,28,9.3
71,0x903a,BANGRES11DEL01,27,4.7,12.934365,77.616155,13.044365,77.726155,10/3/2022,0.875,21:15,Cloudy,Jam,2,Snack,scooter,1,No,Metropolitian,42,29
72,0xc444,DEHRES01DEL01,30,4.8,0,0,0.11,0.11,16-02-2022,23:40,23:55,Windy,Low,1,Snack,motorcycle,1,No,Metropolitian,25,
73,0x1fb7,CHENRES02DEL01,25,4.4,13.086438,80.220672,13.196438,80.330672,27-03-2022,18:15,18:20,Cloudy,Medium,2,Snack,scooter,1,No,Metropolitian,39,26.1
74,0x34d7,MUMRES04DEL01,25,4.7,19.254567,72.848923,19.364567,72.958923,27-03-2022,18:20,18:25,Stormy,Medium,0,Meal,motorcycle,0,No,Urban,20,35.9
75,0x156b,JAPRES03DEL02,30,5,26.913483,75.803139,26.933483,75.823139,24-03-2022,11:45,11:50,Stormy,High,1,Buffet,motorcycle,1,No,Metropolitian,31,5
76,0x56ad,HYDRES04DEL03,24,4.6,17.411028,78.329645,17.471028,78.389645,9/3/2022,20:45,20:55,Stormy,Jam,1,Buffet,motorcycle,0,No,Metropolitian,13,16.2
77,0x837c,PUNERES14DEL02,39,4.8,18.516216,73.842527,18.566216,73.892527,3/3/2022,21:55,22:10,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,28,10.6
78,0xcbc4,GOARES04DEL01,25,4.8,15.5696,73.742294,15.6096,73.782294,15-02-2022,12:45,12:50,Windy,High,1,Snack,scooter,1,No,Urban,19,8.7
79,0xc19e,AURGRES08DEL02,37,4.6,19.876428,75.364792,19.956428,75.444792,18-02-2022,23:30,23:45,Fog,Low,0,Buffet,motorcycle,2,Yes,Urban,42,15.5
80,0x1d60,BANGRES12DEL01,24,5,12.939496,77.625999,12.949496,77.635999,1/3/2022,10:50,10:55,Fog,Low,0,Drinks,motorcycle,1,No,Metropolitian,23,2.8
81,0x95fb,HYDRES05DEL01,25,4.2,17.433809,78.386744,17.543809,78.496744,23-03-2022,21:25,21:40,Stormy,Jam,0,Meal,motorcycle,1,No,Metropolitian,39,28.7
82,0x8195,RANCHIRES17DEL01,32,4.6,23.374878,85.335739,23.384878,85.345739,1/4/2022,10:10,10:20,Stormy,Low,2,Drinks,motorcycle,1,No,Metropolitian,25,3.1
83,0xc042,AGRRES010DEL01,34,4.7,-27.163303,78.057044,27.233303,78.127044,16-02-2022,0.958333333,23:05,Sandstorms,Low,1,Drinks,scooter,0,No,Metropolitian,15,
84,0x6d19,INDORES12DEL02,38,4.9,22.74806,75.8934,22.76806,75.9134,11/3/2022,8:40,8:55,Cloudy,Low,2,Drinks,scooter,1,No,Urban,15,4.4
85,0x35e6,JAPRES15DEL03,36,4.8,26.891191,75.802083,26.981191,75.892083,14-03-2022,17:50,17:55,Sunny,Medium,2,Buffet,electric_scooter,0,No,Metropolitian,15,17.9
86,0xb437,SURRES16DEL01,25,5,21.160437,72.774209,21.270437,72.884209,18-03-2022,20:25,20:40,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,15,21.7
87,0x97e3,MYSRES16DEL02,29,5,12.316967,76.603067,12.366967,76.653067,1/4/2022,22:20,22:25,Sunny,Low,0,Drinks,motorcycle,0,No,Metropolitian,18,14.7
88,0xa3e0,MUMRES05DEL03,36,4.7,18.927584,72.832585,19.017584,72.922585,4/4/2022,23:40,23:50,Sandstorms,Low,2,Drinks,electric_scooter,0,No,Metropolitian,29,25.7
89,0x4161,COIMBRES19DEL02,33,4.7,11.022298,76.998349,11.072298,77.048349,11/3/2022,23:25,23:30,Fog,Low,0,Snack,motorcycle,0,No,Metropolitian,20,10.7
90,0x1236,MYSRES07DEL01,36,4.4,12.325461,76.632278,12.365461,76.672278,13-03-2022,12:40,12:55,Cloudy,High,2,Meal,scooter,1,No,Metropolitian,39,11.7
91,0x2558,PUNERES17DEL01,21,4.8,18.530963,73.828972,18.640963,73.938972,4/3/2022,23:30,23:45,Windy,Low,0,Snack,motorcycle,0,No,Metropolitian,19,29.5
92,0x3185,HYDRES19DEL03,25,4.8,17.458998,78.500366,17.488998,78.530366,26-03-2022,23:55,24:10:00,Cloudy,Low,1,Snack,scooter,1,No,Urban,19,7
93,0x3c57,MUMRES14DEL02,23,4.8,19.1813,72.836191,19.3113,72.966191,16-03-2022,22:50,0.958333333,Windy,Low,0,Meal,motorcycle,0,No,Metropolitian,17,43.4
94,0x4863,COIMBRES02DEL01,25,4.6,11.022477,76.995667,11.032477,77.005667,1/3/2022,10:25,10:40,Stormy,Low,2,Snack,motorcycle,1,No,Urban,15,3.1
95,0x6757,INDORES05DEL02,24,4.3,22.727021,75.884167,22.747021,75.904167,15-03-2022,8:45,0.375,Sandstorms,Low,0,Meal,motorcycle,0,No,Urban,19,4.4
96,0x22ad,BANGRES03DEL03,27,4.6,12.979166,77.640709,13.069166,77.730709,4/3/2022,21:25,21:40,Sandstorms,Jam,0,Buffet,motorcycle,1,No,Metropolitian,29,18.4
97,0x9f99,MUMRES11DEL01,23,4.8,18.994237,72.825553,19.104237,72.935553,18-03-2022,22:35,22:40,Cloudy,Low,2,Snack,scooter,1,No,Urban,22,24.9
98,0x6781,MYSRES12DEL02,21,4.3,12.284747,76.625861,12.414747,76.755861,23-03-2022,20:10,20:20,Fog,Jam,1,Drinks,scooter,0,No,Metropolitian,42,32.3
99,0x1b8d,SURRES09DEL02,27,4.7,21.175975,72.795503,21.195975,72.815503,15-03-2022,10:55,11:10,Sandstorms,Low,2,Snack,scooter,0,No,Urban,12,6.2
100,0x1aea,COIMBRES12DEL02,32,4.2,11.000762,76.981876,11.130762,77.111876,8/3/2022,20:35,20:45,Cloudy,Jam,1,Snack,motorcycle,1,No,Metropolitian,38,28.7
101,0x1e42,SURRES08DEL01,25,4.6,21.173343,72.792731,21.283343,72.902731,10/3/2022,23:20,23:35,Sunny,Low,0,Drinks,motorcycle,1,No,Metropolitian,23,23.4
102,0xddc8,KNPRES05DEL02,39,4.7,26.479108,80.315042,26.499108,80.335042,11/2/2022,10:35,10:50,Cloudy,Low,1,Meal,scooter,0,No,Metropolitian,15,9.5
103,0x24ac,SURRES05DEL02,27,4.6,21.175104,72.804342,21.255104,72.884342,14-03-2022,23:45,23:50,Sunny,Low,0,Snack,motorcycle,1,No,Metropolitian,24,16.9
104,0x3f01,MUMRES15DEL01,39,3.8,19.176269,72.836721,19.286269,72.946721,16-03-2022,19:55,0.833333333,Windy,Jam,1,Drinks,motorcycle,0,No,Metropolitian,37,25.6
105,0x628c,BANGRES15DEL02,31,4.8,12.975377,77.696664,13.025377,77.746664,1/3/2022,22:15,22:25,Sandstorms,Low,1,Snack,scooter,0,No,Metropolitian,24,16.8
106,0x6c38,RANCHIRES11DEL03,31,4.8,23.359194,85.325447,23.419194,85.385447,1/3/2022,23:10,23:15,Sunny,Low,2,Buffet,electric_scooter,0,No,Metropolitian,13,11.4
107,0x4beb,MYSRES08DEL01,20,4.8,12.297954,76.665169,12.307954,76.675169,30-03-2022,9:15,9:30,Cloudy,Low,0,Drinks,motorcycle,0,No,,16,3
108,0x8339,RANCHIRES07DEL02,36,4.9,23.359407,85.325055,23.439407,85.405055,2/3/2022,18:25,18:35,Cloudy,Medium,0,Drinks,motorcycle,1,No,Urban,42,16.5
109,0x3ec5,RANCHIRES01DEL03,20,4.9,23.416792,85.316842,23.506792,85.406842,20-03-2022,22:10,22:20,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,17,20
110,0xadb4,JAPRES17DEL03,24,4.6,26.892312,75.806896,26.922313,75.836896,3/4/2022,20:50,21:05,Cloudy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,25,6.8
111,0x6e2,VADRES06DEL01,,,22.31279,73.170283,22.42279,73.280283,2/4/2022,,18:25,,,3,Snack,electric_scooter,0,No,Metropolitian,25,22.9
112,0x2bc0,INDORES14DEL01,39,4.2,22.761593,75.886362,22.871593,75.996362,29-03-2022,18:45,18:50,Fog,Medium,1,Snack,scooter,0,No,Metropolitian,39,20.4
113,0x99e7,COIMBRES17DEL01,37,4.8,11.026117,76.944652,11.066117,76.984652,17-03-2022,14:55,15:05,Sunny,High,2,Meal,scooter,0,No,Metropolitian,18,10.1
114,0x39ef,CHENRES11DEL01,32,4.9,13.064181,80.236442,13.104181,80.276442,17-03-2022,16:50,0.708333333,Sandstorms,Medium,2,Drinks,motorcycle,1,No,Metropolitian,28,9.6
115,0xe264,KNPRES17DEL02,22,4.5,26.483042,80.317833,26.533042,80.367833,15-02-2022,22:20,22:35,Sandstorms,Low,1,Drinks,scooter,1,No,Metropolitian,18,11.4
116,0xbd03,COIMBRES12DEL02,23,4.9,11.000762,76.981876,11.130762,77.111876,18-03-2022,1,24:15:00,Windy,Low,1,Meal,scooter,0,No,Metropolitian,18,28.7
117,0x9a29,RANCHIRES04DEL01,33,4.7,23.359033,85.325347,23.469033,85.435347,8/3/2022,21:10,21:20,Fog,Jam,1,Snack,scooter,1,No,Metropolitian,49,21.9
118,0xd0e5,KOLRES17DEL03,23,,22.569358,88.433452,22.599358,88.463452,17-02-2022,23:25,23:35,Sunny,Low,0,Drinks,motorcycle,0,No,Metropolitian,15,9.4
119,0xa480,BANGRES19DEL02,27,4.6,12.914264,77.6784,12.994264,77.7584,31-03-2022,23:30,23:35,Sunny,Low,0,Drinks,motorcycle,1,No,Metropolitian,21,21.3
120,0xb46c,MUMRES17DEL01,34,4.7,19.121999,72.908493,19.161999,72.948493,1/3/2022,14:20,14:35,Sunny,High,2,Snack,scooter,0,No,Metropolitian,23,10.8
121,0x7150,SURRES14DEL01,26,5,21.157729,72.768726,21.167729,72.778726,3/4/2022,10:15,10:25,Fog,Low,2,Meal,scooter,1,No,Urban,11,2.4
122,0x1e58,VADRES14DEL03,31,4.6,22.311603,73.165012,22.371603,73.225012,24-03-2022,21:20,21:35,Cloudy,Jam,0,Snack,motorcycle,0,No,Metropolitian,25,16.9
123,0x4460,PUNERES09DEL02,32,4.9,18.536562,73.896485,18.556562,73.916485,7/3/2022,8:50,8:55,Fog,Low,2,Snack,motorcycle,0,No,Metropolitian,18,6.3
124,0x977d,INDORES19DEL02,27,4.7,22.745536,75.893106,22.765536,75.913106,9/3/2022,0.375,9:05,Cloudy,Low,1,Buffet,motorcycle,0,No,Metropolitian,14,4.5
125,0x1602,BANGRES010DEL03,21,4.9,12.933298,77.614293,13.023298,77.704293,12/3/2022,17:45,0.75,Windy,Medium,0,Drinks,motorcycle,2,No,Metropolitian,36,24.9
126,0x894e,BANGRES12DEL02,28,4.8,12.939496,77.625999,12.989496,77.675999,24-03-2022,23:10,23:15,Fog,Low,1,Drinks,motorcycle,,No,Metropolitian,18,17.2
127,0x5a01,VADRES04DEL01,24,4.9,0,0,0.04,0.04,30-03-2022,16:35,16:50,Fog,Medium,1,Meal,scooter,1,No,Urban,17,
128,0x655,HYDRES14DEL01,33,4.4,17.426228,78.407495,17.436228,78.417495,5/3/2022,8:30,8:40,Sandstorms,Low,0,Snack,motorcycle,1,No,Metropolitian,28,4
129,0x20f6,BANGRES11DEL03,20,4.6,12.934365,77.616155,13.024365,77.706155,18-03-2022,20:35,20:50,Fog,Jam,0,Buffet,motorcycle,0,Yes,Metropolitian,44,17
130,0x3db1,COIMBRES13DEL03,31,4.3,11.003669,76.976494,11.063669,77.036494,13-03-2022,23:25,23:40,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,20,12.8
131,0x1ec7,PUNERES05DEL03,,,18.543626,73.905101,18.573626,73.935101,9/3/2022,,23:40,Stormy,Low,2,Snack,scooter,0,No,,19,9.9
132,0x8ed2,VADRES20DEL01,36,5,22.311358,73.164798,22.381358,73.234798,31-03-2022,19:55,20:05,Fog,Jam,1,Snack,motorcycle,1,No,Metropolitian,35,22.1
133,0x64cc,CHENRES19DEL01,31,4.2,12.986047,80.218114,13.096047,80.328114,23-03-2022,21:20,21:30,Sandstorms,Jam,0,Meal,motorcycle,1,No,Metropolitian,50,25.7
134,0x2ed0,HYDRES02DEL03,39,4.1,17.41233,78.449654,17.47233,78.509654,24-03-2022,21:45,21:50,Stormy,Jam,1,Meal,scooter,1,No,Metropolitian,34,14.6
135,0x4008,SURRES010DEL02,29,4.6,21.17106,72.789292,21.25106,72.869292,12/3/2022,19:40,19:55,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,17,16.3
136,0x7553,SURRES03DEL01,29,4.6,21.186884,72.793616,21.226884,72.833616,3/3/2022,14:50,0.625,Sandstorms,High,1,Snack,scooter,0,No,Urban,23,7.9
137,0x35d8,COIMBRES17DEL03,37,4.9,11.026117,76.944652,11.056117,76.974652,9/3/2022,18:10,18:20,Fog,Medium,0,Buffet,motorcycle,1,No,Metropolitian,27,9.3
138,0x9832,VADRES08DEL01,33,4.7,0,0,0.04,0.04,17-03-2022,12:20,12:30,Cloudy,High,0,Snack,motorcycle,0,No,Urban,26,
139,0x4c88,MUMRES08DEL01,31,3.9,19.065838,72.832658,19.135838,72.902658,18-03-2022,23:40,23:50,Cloudy,Low,1,Buffet,scooter,1,No,Metropolitian,35,16
140,0x9693,VADRES18DEL01,37,4.6,0,0,0.04,0.04,19-03-2022,12:50,12:55,Windy,High,0,Drinks,motorcycle,1,No,Urban,41,
141,0x81a5,BANGRES04DEL03,26,4.4,12.98041,77.640489,13.04041,77.700489,7/3/2022,23:20,23:30,Sandstorms,Low,0,Buffet,motorcycle,0,No,,23,13.6
142,0xae56,COIMBRES02DEL01,24,4.6,11.022477,76.995667,11.132477,77.105667,4/3/2022,17:50,0.75,Stormy,Medium,0,Snack,motorcycle,0,No,Metropolitian,30,22.3
143,0x8d18,RANCHIRES12DEL02,23,4.8,0,0,0.02,0.02,3/4/2022,10:25,10:35,Windy,Low,1,Buffet,scooter,1,No,Metropolitian,19,
