,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Time_Orderd_hour,Time_Orderd_minute,Time_Order_picked_hour,Time_Order_picked_minute,onground_dist
53,36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,12,40,22,10,15.3
54,21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,23,30,22,10,35.9
55,25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,10,25,22,10,10.1
56,27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,21,25,22,10,4.2
57,23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,22,35,22,10,20.5
58,21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,20,10,22,10,
59,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,10,55,22,10,
60,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20,35,22,10,26.4
61,25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,23,20,22,10,8.6
62,39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,10,35,22,10,7.8
63,27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,23,45,22,10,
64,31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,22,15,22,10,
65,31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,23,10,22,10,10.9
66,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,18,25,22,10,17.3
67,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,22,10,22,10,
68,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,20,50,22,10,19.8
69,39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,18,45,22,10,17.3
70,37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,14,55,22,10,9.3
71,22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,22,20,22,10,29.0
72,33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,21,10,22,10,
73,34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,14,20,22,10,26.1
74,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,10,15,22,10,35.9
75,31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,21,20,22,10,5.0
76,32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,8,50,22,10,16.2
77,33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,8,30,22,10,10.6
78,20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,20,35,22,10,8.7
79,31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,23,25,22,10,15.5
80,36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,19,55,22,10,2.8
81,31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,21,20,22,10,28.7
82,37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,18,10,22,10,3.1
83,31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,23,40,22,10,
84,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,12,30,22,10,4.4
85,20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,17,10,22,10,17.9
86,20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,19,15,22,10,21.7
87,29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,23,50,22,10,14.7
88,36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,18,45,22,10,25.7
89,36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,20,40,22,10,10.7
90,22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,22,10,22,10,11.7
91,38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,17,20,22,10,29.5
92,39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,19,55,22,10,7.0
93,24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,18,15,22,10,43.4
94,35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,17,25,22,10,3.1
95,39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,18,30,22,10,4.4
96,31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,21,35,22,10,18.4
97,37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,8,40,22,10,24.9
98,33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,11,45,22,10,32.3
99,33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,19,10,22,10,6.2
100,37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,18,15,22,10,28.7
101,25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,22,30,22,10,23.4
102,38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,13,10,22,10,9.5
103,25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,19,50,22,10,16.9
104,35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,21,15,22,10,25.6
105,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,19,35,22,10,16.8
106,38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,19,10,22,10,11.4
107,35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,21,20,22,10,3.0
108,29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,9,50,22,10,16.5
109,27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,20,35,22,10,20.0
110,26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,19,45,22,10,6.8
111,36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,17,45,22,10,22.9
112,20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,12,50,22,10,20.4
113,23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,21,40,22,10,10.1
114,37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,19,55,22,10,9.6
115,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,19,35,22,10,11.4
116,26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,17,10,22,10,28.7
117,29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,19,35,22,10,21.9
118,29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,10,30,22,10,9.4
119,22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,10,10,22,10,21.3
120,31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,17,50,22,10,10.8
121,36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,17,55,22,10,2.4
122,25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,18,20,22,10,16.9
123,27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,15,35,22,10,6.3
124,32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,18,15,22,10,4.5
125,29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,20,30,22,10,24.9
126,31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,14,50,22,10,17.2
127,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,18,15,22,10,
128,26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,19,35,22,10,4.0
129,33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,18,10,22,10,17.0
130,34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,21,10,22,10,12.8
131,36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,23,40,22,10,9.9
132,27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,23,25,22,10,22.1
133,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,19,30,22,10,25.7
134,29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,22,55,22,10,14.6
135,28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,12,35,22,10,16.3
136,29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,15,25,22,10,7.9
137,28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,22,35,22,10,9.3
138,25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,23,35,22,10,
139,38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,10,25,22,10,16.0
140,39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,22,20,22,10,
141,26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,17,15,22,10,13.6
142,33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,21,30,22,10,22.3
143,24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25,18,40,22,10,
144,33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,22,50,22,10,
145,27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20,30,22,10,10.0
146,29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,18,45,22,10,17.0
147,34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,23,10,22,10,36.1
148,20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,11,10,22,10,13.1
149,29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,18,13,50,22,10,26.4
150,22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21,18,40,22,10,20.3
151,35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,21,15,22,10,16.5
152,32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42,21,45,22,10,16.0
153,28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,20,21,20,22,10,10.5
154,30.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,29,22,45,22,10,12.4
155,22.0,4.7,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,15,20,10,22,10,
156,36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,18,20,22,10,23.2
157,29.0,4.5,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,15,22,30,22,10,20.6
158,34.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,50,21,50,22,10,16.9
159,38.0,4.1,Stormy,High,0,Buffet,motorcycle,1.0,Yes,Metropolitian,41,11,50,22,10,19.7
160,32.0,4.3,Cloudy,Medium,1,Meal,scooter,2.0,No,Metropolitian,35,18,40,22,10,2.4
161,20.0,4.5,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,27,20,25,22,10,8.6
162,25.0,4.9,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,43,21,45,22,10,2.7
163,31.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Urban,47,21,15,22,10,
164,37.0,4.5,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,26,23,30,22,10,17.8
165,36.0,4.9,Cloudy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,31,17,15,22,10,16.5
166,37.0,3.8,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,42,20,45,22,10,16.7
167,35.0,4.9,Fog,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,18,18,35,22,10,10.4
168,28.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,8,25,22,10,12.9
169,39.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,48,17,45,22,10,8.9
170,29.0,4.5,Windy,Low,1,Snack,scooter,0.0,No,Urban,13,22,25,22,10,12.8
171,39.0,4.6,Sandstorms,High,2,Drinks,motorcycle,1.0,No,Metropolitian,32,11,30,22,10,13.7
172,25.0,4.9,Sandstorms,Jam,2,Snack,electric_scooter,0.0,No,Urban,16,21,45,22,10,17.4
173,34.0,5.0,Cloudy,Medium,2,Snack,electric_scooter,0.0,No,Urban,19,17,25,22,10,18.3
174,22.0,4.8,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,9,40,22,10,13.0
175,27.0,5.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20,55,22,10,18.8
176,32.0,5.0,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,31,18,25,22,10,20.9
177,30.0,4.6,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Urban,24,10,40,22,10,4.8
178,39.0,4.8,Fog,High,2,Drinks,scooter,1.0,No,Urban,26,11,20,22,10,5.8
179,20.0,4.7,Sandstorms,Medium,2,Snack,scooter,1.0,No,Urban,16,17,10,22,10,22.9
180,34.0,4.2,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,24,23,10,22,10,14.3
181,37.0,4.3,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,34,11,55,22,10,12.4
182,33.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,22,40,22,10,26.4
183,21.0,5.0,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,25,17,10,22,10,16.1
184,28.0,4.6,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,16,19,45,22,10,4.0
185,21.0,4.7,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,27,20,30,22,10,16.2
186,39.0,4.9,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,25,11,10,22,10,10.7
187,20.0,4.5,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,25,19,30,22,10,21.6
188,36.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,15,8,20,22,10,16.2
189,32.0,4.5,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20,30,22,10,16.4
190,30.0,4.7,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,22,25,22,10,17.2
191,23.0,4.6,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,27,21,30,22,10,23.8
192,31.0,4.2,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,17,25,22,10,16.3
193,20.0,4.5,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20,15,22,10,6.5
194,22.0,4.9,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,11,8,25,22,10,6.2
195,20.0,4.7,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Urban,13,17,15,22,10,5.1
196,32.0,4.5,Cloudy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,27,12,20,22,10,24.9
197,34.0,4.9,Sunny,Low,2,Snack,scooter,1.0,No,Metropolitian,26,22,55,22,10,6.3
198,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,17,25,22,10,20.6
199,34.0,4.5,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,25,10,35,22,10,23.7
200,34.0,4.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,19,50,22,10,9.8
201,26.0,4.6,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,32,19,30,22,10,2.9
202,32.0,5.0,Cloudy,Jam,2,Buffet,scooter,1.0,No,Urban,27,21,55,22,10,22.7
203,32.0,4.5,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,17,10,22,10,10.6
204,39.0,4.1,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,32,18,40,22,10,13.8
205,36.0,4.8,Stormy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,25,10,15,22,10,8.6
206,38.0,3.7,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,31,20,30,22,10,24.0
207,28.0,4.7,Stormy,High,2,Drinks,scooter,1.0,No,Metropolitian,28,11,40,22,10,
208,34.0,3.8,Stormy,Medium,1,Meal,scooter,0.0,No,Metropolitian,31,18,40,22,10,22.1
209,32.0,4.9,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,29,23,15,22,10,6.1
210,22.0,4.7,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,17,23,35,22,10,31.0
211,31.0,4.0,Windy,Medium,0,Drinks,motorcycle,3.0,Yes,Metropolitian,45,17,45,22,10,2.0
212,29.0,4.9,Windy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,24,19,35,22,10,10.3
213,38.0,4.8,Sandstorms,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,21,40,22,10,7.8
214,35.0,4.8,Cloudy,Jam,2,Snack,motorcycle,2.0,No,Metropolitian,36,20,50,22,10,
215,31.0,4.9,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,28,20,30,22,10,23.0
216,30.0,4.3,Windy,Medium,1,Drinks,scooter,2.0,No,Metropolitian,37,18,35,22,10,37.5
217,33.0,4.8,Stormy,Low,2,Drinks,motorcycle,0.0,No,Urban,23,23,15,22,10,29.7
218,29.0,4.6,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,22,23,40,22,10,30.7
219,38.0,4.6,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,26,12,45,22,10,22.7
220,26.0,4.9,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,34,20,15,22,10,
221,26.0,4.7,Windy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,14,22,45,22,10,10.9
222,35.0,4.7,Cloudy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,17,15,10,22,10,
223,24.0,2.6,Sunny,Low,1,Drinks,motorcycle,1.0,Yes,Metropolitian,42,22,35,22,10,30.1
224,33.0,4.3,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,34,17,20,22,10,20.4
225,26.0,4.6,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,25,18,35,22,10,6.1
226,37.0,4.9,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,48,19,10,22,10,29.2
227,31.0,4.8,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,28,23,10,22,10,1.6
228,37.0,4.6,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Urban,26,17,45,22,10,20.6
229,26.0,4.7,Sunny,Jam,2,Drinks,scooter,0.0,No,Urban,16,21,55,22,10,15.3
230,21.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,22,25,22,10,22.8
231,22.0,4.0,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Urban,28,9,45,22,10,35.7
232,38.0,4.5,Windy,Low,1,Meal,motorcycle,1.0,No,Urban,20,10,20,22,10,17.3
233,28.0,4.0,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,32,13,30,22,10,10.4
234,31.0,4.9,Cloudy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,38,12,15,22,10,24.9
235,24.0,4.8,Cloudy,Low,2,Snack,scooter,0.0,No,Metropolitian,14,8,45,22,10,10.0
236,26.0,4.9,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,30,19,35,22,10,
237,20.0,4.7,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,29,19,10,22,10,7.9
238,29.0,4.8,Windy,Low,1,Buffet,scooter,0.0,No,Urban,12,22,50,22,10,2.4
239,32.0,4.0,Windy,Medium,0,Buffet,motorcycle,3.0,Yes,Urban,49,18,45,22,10,20.4
240,20.0,4.9,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,42,17,25,22,10,17.7
