,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
151,22.0,4.8,23.359033,85.325347,23.439033,85.405347,22:10,22:25,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15
152,38.0,4.4,18.593481,73.785901,18.663481,73.855901,17:20,17:25,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33
153,39.0,4.9,21.186438,72.794115,21.236438,72.844115,19:55,20:10,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30
154,24.0,4.9,22.725748,75.898497,22.775748,75.948497,18:15,18:25,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22
156,35.0,4.8,17.450851,78.379347,17.540851,78.469347,17:25,17:35,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48
158,39.0,4.7,10.035573,76.336958,10.105573,76.406958,18:30,18:35,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21
159,31.0,4.3,22.308096,73.167753,22.388096,73.247753,21:35,21:45,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44
160,37.0,4.5,12.975996,80.221898,12.985996,80.231898,08:40,08:55,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26
162,33.0,5.0,19.178321,72.834715,19.188321,72.844715,11:45,11:50,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31
164,33.0,4.5,26.910262,75.783013,26.990262,75.863013,19:10,19:15,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18
166,37.0,4.6,23.359194,85.325447,23.449194,85.415447,18:15,18:25,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32
167,25.0,4.9,17.458998,78.500366,17.508998,78.550366,22:30,22:35,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17
169,38.0,4.7,12.321214,76.621094,12.361214,76.661094,13:10,13:20,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31
172,25.0,4.8,19.055831,72.833984,19.115831,72.893984,19:50,20:05,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22
173,35.0,4.9,12.337928,76.617889,12.407928,76.687889,21:15,21:20,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43
174,39.0,4.7,23.351489,85.324253,23.421489,85.394253,19:35,19:45,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42
175,38.0,3.9,22.728163,75.884212,22.808163,75.964212,19:10,19:20,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42
176,35.0,4.7,13.026286,80.275235,13.056286,80.305235,21:20,21:30,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34
177,29.0,4.7,26.766536,75.837333,26.786536,75.857333,09:50,10:05,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17
178,27.0,4.6,21.149834,72.778666,21.179834,72.808666,20:35,20:40,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25
182,26.0,4.1,26.482581,80.315628,26.572581,80.405628,19:45,19:50,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36
183,36.0,4.9,12.284747,76.625861,12.344747,76.685861,17:45,17:55,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17
186,20.0,4.5,12.323194,76.630583,12.363194,76.670583,12:50,12:55,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26
187,23.0,4.6,18.563934,73.915367,18.653934,74.005367,21:40,21:55,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46
188,37.0,5.0,22.569367,88.433187,22.629367,88.493187,19:55,20:05,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29
189,26.0,4.8,12.949934,77.699386,13.009934,77.759386,19:35,19:40,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23
191,26.0,4.9,22.725835,75.887648,22.835835,75.997648,17:10,17:25,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28
192,29.0,4.8,18.536562,73.896485,18.596562,73.956485,19:35,19:40,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25
193,29.0,4.7,23.416792,85.316842,23.436792,85.336842,10:30,10:45,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11
195,22.0,4.3,12.310972,76.659264,12.330972,76.679264,10:10,10:25,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23
196,31.0,4.0,26.913987,75.752891,26.993987,75.832891,17:50,18:05,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39
199,36.0,4.8,12.933284,77.615428,13.003284,77.685428,17:55,18:10,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43
202,25.0,5.0,13.086438,80.220672,13.146439,80.280672,18:20,18:25,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27
203,27.0,4.5,17.429585,78.392621,17.469585,78.432621,15:35,15:50,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29
204,32.0,4.1,12.978453,77.643685,13.048453,77.713685,18:15,18:30,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33
209,29.0,4.6,25.449659,81.839744,25.479659,81.869744,20:30,20:45,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29
213,31.0,4.9,15.585658,73.743606,15.625658,73.783606,14:50,15:05,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28
216,36.0,4.8,26.766536,75.837333,26.896536,75.967333,18:15,18:20,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36
218,26.0,4.7,26.913987,75.752891,27.053987,75.892891,19:35,19:40,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43
221,33.0,4.7,12.972532,77.608179,13.022532,77.658179,18:10,18:25,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15
223,34.0,4.0,19.103249,72.846749,19.193249,72.936749,21:10,21:15,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39
224,36.0,4.6,17.426228,78.407495,17.506228,78.487495,23:40,23:50,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20
228,27.0,4.9,12.906229,77.596791,12.986229,77.676791,23:25,23:40,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20
230,26.0,4.8,12.933298,77.614293,13.013298,77.694293,19:30,19:40,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43
231,29.0,4.5,22.751857,75.866699,22.881857,75.996699,22:55,23:05,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15
233,28.0,4.6,17.483216,78.552111,17.523216,78.592111,12:35,12:50,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14
237,29.0,4.7,25.457687,81.835585,25.497687,81.875585,15:25,15:30,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11
239,28.0,5.0,19.875016,75.322405,19.965016,75.412405,22:35,22:45,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15
240,25.0,4.7,19.178321,72.834715,19.248321,72.904715,23:35,23:45,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16
242,38.0,4.8,13.026279,80.174568,13.046279,80.194568,10:25,10:30,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20
243,39.0,4.9,17.455894,78.375467,17.485894,78.405467,22:20,22:30,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26
244,26.0,4.9,21.149834,72.778666,21.209834,72.838666,17:15,17:20,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26
245,33.0,4.4,11.022477,76.995667,11.092477,77.065667,21:30,21:45,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43
246,24.0,4.6,22.310237,73.158921,22.370237,73.218921,18:40,18:50,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25
248,33.0,4.5,22.745049,75.892471,22.835049,75.982471,22:50,23:05,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17
250,27.0,4.2,19.178321,72.834715,19.268321,72.924715,20:30,20:35,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33
252,29.0,4.5,12.979096,77.640625,13.009096,77.670625,18:45,18:50,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15
253,34.0,4.7,27.163303,78.057044,27.293303,78.187044,23:10,23:20,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27
254,20.0,4.7,26.482419,80.320939,26.502419,80.340939,11:10,11:25,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25
255,29.0,4.8,22.310237,73.158921,22.350237,73.198921,13:50,13:55,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,18
256,22.0,4.9,22.307898,73.167788,22.367898,73.227788,18:40,18:45,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21
257,35.0,4.9,27.160832,78.011608,27.230832,78.081608,21:15,21:30,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53
258,32.0,4.4,10.027014,76.308053,10.137014,76.418053,21:45,21:55,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42
259,28.0,4.9,30.890184,75.829615,31.000184,75.939615,21:20,21:35,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,20
260,30.0,4.7,11.003681,76.975525,11.133681,77.105525,22:45,22:55,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,29
261,22.0,4.7,12.986047,80.218114,13.096047,80.328114,20:10,20:20,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,15
262,36.0,4.7,11.006686,76.951736,11.056686,77.001736,18:20,18:35,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30
265,29.0,4.5,19.876106,75.340775,20.006106,75.470775,22:30,22:40,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,15
266,34.0,4.9,13.005801,80.250744,13.115801,80.360744,21:50,22:05,Sandstorms,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,50
267,38.0,4.1,12.933298,77.614293,12.943298,77.624293,11:50,11:55,Stormy,High,0,Buffet,motorcycle,1.0,Yes,Metropolitian,41
270,32.0,4.3,30.328174,78.049117,30.398174,78.119117,18:40,18:55,Cloudy,Medium,1,Meal,scooter,2.0,No,Metropolitian,35
271,20.0,4.5,12.978453,77.643685,13.048453,77.713685,20:25,20:35,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,27
272,25.0,4.9,13.058616,80.264151,13.138616,80.344151,21:45,21:50,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,43
276,31.0,4.4,22.307898,73.167788,22.417898,73.277788,21:15,21:20,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Urban,47
277,37.0,4.5,21.170096,72.789122,21.220096,72.839122,23:30,23:35,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,26
278,36.0,4.9,30.905562,75.832841,30.995562,75.922841,17:15,17:30,Cloudy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,31
279,37.0,3.8,26.849596,75.800512,26.989596,75.940512,20:45,20:55,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,42
284,35.0,4.9,26.902328,75.794257,26.932328,75.824257,18:35,18:40,Fog,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,18
286,28.0,4.8,17.428294,78.404423,17.448294,78.424423,08:25,08:40,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23
287,39.0,4.0,12.316967,76.603067,12.446967,76.733067,17:45,17:55,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,48
288,29.0,4.5,12.975377,77.696664,13.055377,77.776664,22:25,22:40,Windy,Low,1,Snack,scooter,0.0,No,Urban,13
289,39.0,4.6,13.026286,80.275235,13.046286,80.295235,11:30,11:40,Sandstorms,High,2,Drinks,motorcycle,1.0,No,Metropolitian,32
290,25.0,4.9,12.323978,76.627961,12.453978,76.757961,21:45,21:50,Sandstorms,Jam,2,Snack,electric_scooter,0.0,No,Urban,16
291,34.0,5.0,11.025083,77.015393,11.055083,77.045393,17:25,17:30,Cloudy,Medium,2,Snack,electric_scooter,0.0,No,Urban,19
292,22.0,4.8,12.933284,77.615428,12.953284,77.635428,09:40,09:45,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18
293,27.0,5.0,26.492106,80.327797,26.562106,80.397797,20:55,21:05,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27
295,32.0,5.0,10.994136,76.963303,11.024136,76.993303,18:25,18:40,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,31
301,30.0,4.6,22.308096,73.167753,22.318096,73.177753,10:40,10:55,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Urban,24
302,39.0,4.8,12.323194,76.630583,12.343194,76.650583,11:20,11:25,Fog,High,2,Drinks,scooter,1.0,No,Urban,26
304,20.0,4.7,18.543626,73.905101,18.623626,73.985101,17:10,17:15,Sandstorms,Medium,2,Snack,scooter,1.0,No,Urban,16
306,34.0,4.2,12.304569,76.643622,12.364569,76.703622,23:10,23:15,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,24
308,37.0,4.3,26.849596,75.800512,26.869596,75.820512,11:55,12:05,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,34
310,33.0,4.9,21.160522,72.771477,21.210522,72.821477,22:40,22:50,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26
311,21.0,5.0,22.728163,75.884212,22.858163,76.014212,17:10,17:15,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,25
317,28.0,4.6,17.428294,78.404423,17.558294,78.534423,19:45,19:50,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,16
318,21.0,4.7,26.766536,75.837333,26.896536,75.967333,20:30,20:40,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,27
319,39.0,4.9,19.879631,75.323403,19.899631,75.343403,11:10,11:15,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,25
